pair_id,island_species,island_group,appendix_source_table
1,Abrotanella rosulata,Campbell,A4
2,Alectryon excelsus grandis,Three Kings,A12
3,Alyxia squamulosa,Lord Howe,A7
4,Brachyglottis arborescens,Three Kings,A12
5,Brachyglottis huntii,Chatham,A5
6,Carmichaelia exsul,Lord Howe,A7
7,Corokia macrocarpa,Chatham,A5
8,Cryptocarya gregsonii,Lord Howe,A7
9,Dendrobium moorei,Lord Howe,A7
10,Gentianella antipoda,Antipodes,A1
11,Gentianella chathamica subsp. chathamica,Chatham,A5
12,Lepidium oblitum,Chatham,A5
13,Leptecophylla robusta,Chatham,A5
14,Leptinella featherstonii,Chatham,A5
15,Melaleuca howeana,Lord Howe,A7
16,Melicope polybotrya,Lord Howe,A7
17,Melicytus novae-zelandia subsp. centurionis,Lord Howe,A7
18,Metrosideros kermadecensis,Kermadec,A6
19,Myosotidium hortensia,Chatham,A5
20,Myrsine chathamica,Chatham,A5
21,Negria rhabdothamusides,Lord Howe,A7
22,Olearia mooneyi,Lord Howe,A7
23,Pennantia endlicheri,Norfolk,A9
24,Pittosporum bracteolatum,Norfolk,A9
25,Plantago aucklandica,Auckland,A2
26,Plectorrhiza erecta,Lord Howe,A7
27,Pseudopanax chathamicus,Chatham,A5
28,Pseudopanax kermadecensis,Kermadec,A6
29,Raoulia goyenii,Stewart,A11
30,Senecio australis,Norfolk,A9
31,Senecio kermadecensis,Kermadec,A6
32,Sonchus grandifolius,Chatham,A5
33,Sonchus kirkii,Kermadec,A6
34,Veronica insularis,Three Kings,A12
35,Xylosma parvifolium,Lord Howe,A7
