island,plant_richness,pollinator_richness,interaction_count,weighted_connectance,sampling_hours,isolation_km,area_km2,age_ma,observed_nestedness,ais_prediction_mean,ais_prediction_half_width_95,null_prediction_mean,null_prediction_half_width_95
Española,11,16,31,0.12,16.75,162.58,60,3.50,0.082,0.116,0.045,0.073,0.040
Fernandina,18,60,125,0.06,70.25,128.00,642,0.07,0.092,0.109,0.015,0.213,0.045
Floreana,11,4,13,0.25,6.30,125.85,173,2.30,0.000,0.081,0.078,0.029,0.069
Genovesa,16,37,64,0.09,22.25,128.71,14,0.70,0.053,0.074,0.017,0.057,0.023
Isabela,12,16,28,0.13,23.42,75.65,4670,0.80,0.163,0.109,0.063,0.143,0.058
Marchena,8,14,20,0.13,12.25,108.00,130,0.70,0.050,0.074,0.047,0.050,0.037
Pinta,21,76,134,0.07,105.08,128.32,60,0.80,0.104,0.091,0.017,0.147,0.026
San Cristóbal,21,93,234,0.03,109.08,141.25,557,4.00,0.182,0.158,0.015,0.174,0.018
Santa Cruz,23,76,215,0.04,126.33,68.93,986,2.30,0.160,0.160,0.020,0.223,0.027
Santiago,24,69,167,0.03,107.83,72.25,572,1.40,0.133,0.133,0.014,0.203,0.029
