response_id,source_id,taxon_or_state,comparison_scope,response_domain,response_mode,evidence_status,quantitative_status,primary_synthesis_role,claim_boundary
R01,campanula_source_locked,Campanula microdonta,ordered Izu island series,floral_size,within_lineage_cline,source_locked,quantitative,calibration,"Continuous morphology is a response shape; its mechanism remains confounded with ordered population history."
R02,campanula_source_locked,Campanula microdonta,ordered Izu island series,realized_outcrossing,within_lineage_cline,source_locked,quantitative,calibration,"Outcrossing erosion is source-locked but island order is not a causal exposure."
R03,campanula_source_locked,Campanula microdonta,Oshima to Toshima/non-Bombus side,autonomous_reproductive_capacity,second_transition_step,source_locked,quantitative,calibration,"The sharp autonomous-capacity transition is not reproduced by tested climate/static-geography/volcanic-recency axes but does not itself prove Bombus causation."
R04,goodyera_suetsugu_2024,Goodyera henryi x G. similis,Kozu versus mainland G. henryi,taxon_identity,hybrid_replacement,primary_source_verified,qualitative_plus_genetic_numeric,mechanism_context,"Pure G. henryi was not recovered on Kozu; the island comparator is hybrid and cannot be used as a same-lineage floral effect."
R05,goodyera_suetsugu_2024,Goodyera henryi x G. similis,Kozu versus mainland G. henryi,effective_pollinator_guild,interaction_rewiring,primary_source_verified,qualitative,mechanism_context,"The wasp interaction is conditional on hybrid replacement; do not describe it as direct generalized evolution of pure G. henryi."
R06,goodyera_suetsugu_2024,Goodyera similis,mainland versus Kozu,floral_morphology,no_reported_regional_shift,primary_source_verified,qualitative,dependency_control,"No discernible regional morphology difference is source-native direction evidence, not an equivalence test."
R07,lilium_nakajima_2018,Lilium auratum varieties,island var. platyphyllum versus mainland var. auratum,pollinator_guild_and_schedule,alternative_guild_specialization,full_text_verified,qualitative,alternative_mechanism_context,"Variety identity is confounded with geography and the focal mechanism is Lepidoptera timing, so it is not a staged-Bombus replicate."
R08,hiraiwa_ushimaru_2017,Calystegia soldanella,seven continental/oceanic sites excluding Oshima fruit-set site,long_tongued_pollinator_exposure,long_tongued_pollinator_sensitive,primary_source_verified,model_result_plus_sample_counts,reproductive_sensitivity_context,"Fruit set declines with lower long-tongued-pollinator biomass/proboscis matching, but Oshima reproductive data are absent and the response cannot localize the Oshima-post breakpoint."
R09,hiraiwa_ushimaru_2017,Vitex rotundifolia,seven continental/oceanic sites excluding Oshima fruit-set site,long_tongued_pollinator_exposure,reproductive_function_resilient_to_RBLP,primary_source_verified,model_result_plus_sample_counts,reproductive_sensitivity_control,"Source reports no significant fruit-set relationship with long-tongued-pollinator biomass or mean proboscis length; this is resilience evidence, not an equivalence test."
R10,hiraiwa_ushimaru_2017,Lysimachia mauritiana,seven continental/oceanic sites excluding Oshima fruit-set site,long_tongued_pollinator_exposure,counterdirectional_reproductive_response,primary_source_verified,model_result_plus_sample_counts,heterogeneity_falsification,"Fruit set increases toward lower-RBLP conditions in the source model, ruling out one common reproductive direction across plants; mating system and Oshima fruit-set data remain unresolved."
R11,hiraiwa_ushimaru_2024,all network plant species with Oshima and >=2 post sites,Oshima versus post-Oshima sites,corrected_trait_matching,heterogeneous_network_response,source_data_reproduced,site_level_numeric,contemporary_ecological_context,"Corrected trait matching is lower post in 10/16 species and higher in 6/16; the contemporary network does not show a universal species-level second step."
R12,hiraiwa_ushimaru_2024,source-defined pollen-success target plants,Oshima versus post-Oshima sites,corrected_trait_matching,coherent_source_defined_subgroup,source_data_reproduced,site_level_numeric,functional_boundary_signal_subgroup,"All 8 eligible source-defined pollen-success target species have lower post-boundary trait matching, but leave-one-island sensitivity is imperfect and the pattern must not be generalized to all plants."
R13,hiraiwa_ushimaru_2024,Farfugium japonicum,Oshima versus post-Oshima sites,interaction_and_pollination_function,channel_specific_functional_change,source_data_reproduced,site_level_numeric,prospective_functional_control,"Functional generality is essentially unchanged while corrected trait matching and pollen receipt are lower post-boundary; high interaction breadth does not imply no ecological response."
R14,hiraiwa_ushimaru_2024,Campanula microdonta,Oshima versus post-Oshima sites,contemporary_network_function,network_channels_higher_post,source_data_reproduced,site_level_numeric,contemporary_ecological_context,"Functional generality and corrected trait matching are higher post-boundary than Oshima, so contemporary network channels do not reproduce the historical autonomous-reproduction step."
