observation_id,analysis_partition,lineage_id,taxon,analysis_group,group_confidence,trait_id,trait_family,pollinator_regime,value,value_unit,evidence_tier,source_locator,review_status,weight,notes
campanula-outcrossing-honshu,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,multilocus_outcrossing_rate,outcrossing,large_bombus,0.7635,proportion,source_locked,data/inoue_literature_island_traits.csv:Honshu,source_verified,1,"Midpoint of locked min/max transcription; a direct outcrossing estimate, not self-compatibility."
campanula-flower-honshu,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,flower_length_mm,floral_size,large_bombus,49.91,mm,source_locked,data/inoue_literature_island_traits.csv:Honshu,source_verified,1,"Locked literature transcription; measurement context remains in source table."
campanula-autonomous-capacity-honshu,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,bagged_capsule_set,autonomous_assurance,large_bombus,0.055,proportion,source_locked,data/inoue_literature_island_traits.csv:Honshu,source_verified,1,"Bagged capsule set is autonomous reproductive capacity; it is not a realized selfing-rate estimate."
campanula-outcrossing-oshima,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,multilocus_outcrossing_rate,outcrossing,ardens,0.691,proportion,source_locked,data/inoue_literature_island_traits.csv:Oshima,source_verified,1,"Midpoint of locked min/max transcription; a direct outcrossing estimate, not self-compatibility."
campanula-flower-oshima,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,flower_length_mm,floral_size,ardens,39.31,mm,source_locked,data/inoue_literature_island_traits.csv:Oshima,source_verified,1,"Locked literature transcription; measurement context remains in source table."
campanula-autonomous-capacity-oshima,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,bagged_capsule_set,autonomous_assurance,ardens,0.113,proportion,source_locked,data/inoue_literature_island_traits.csv:Oshima,source_verified,1,"Bagged capsule set is autonomous reproductive capacity; it is not a realized selfing-rate estimate."
campanula-outcrossing-toshima,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,multilocus_outcrossing_rate,outcrossing,no_bombus,0.535,proportion,source_locked,data/inoue_literature_island_traits.csv:Toshima,source_verified,1,"Midpoint of locked min/max transcription; a direct outcrossing estimate, not self-compatibility."
campanula-flower-toshima,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,flower_length_mm,floral_size,no_bombus,35.27,mm,source_locked,data/inoue_literature_island_traits.csv:Toshima,source_verified,1,"Locked literature transcription; measurement context remains in source table."
campanula-autonomous-capacity-toshima,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,bagged_capsule_set,autonomous_assurance,no_bombus,1,proportion,source_locked,data/inoue_literature_island_traits.csv:Toshima,source_verified,1,"Bagged capsule set is autonomous reproductive capacity; it is not a realized selfing-rate estimate."
campanula-outcrossing-niijima,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,multilocus_outcrossing_rate,outcrossing,no_bombus,0.512,proportion,source_locked,data/inoue_literature_island_traits.csv:Niijima,source_verified,1,"Midpoint of locked min/max transcription; a direct outcrossing estimate, not self-compatibility."
