evidence_unit,taxon,analysis_role,evidence_grade,response_shape_or_mode,what_is_established,main_live_confounder,mechanistic_leverage,causal_claim_allowed,next_decisive_evidence
campanula_flower_size,Campanula microdonta,focal_calibration,A,continuous_cline,"Island-series flower-size erosion is source-locked; flower-only n is small in the current island-side AICc audit.","Ordered colonisation/population history; unmeasured habitat; source/locality differences",limited,no,"Independent lineage with compatible numeric floral measurements and population-history adjustment."
campanula_outcrossing,Campanula microdonta,focal_calibration,A,continuous_cline,"Multilocus outcrossing declines along the island series and is not reproduced as well by tested static geography or volcanic-recency axes.","Ordered colonisation/demographic history can align with island order; mating system may have lineage-specific history",moderate_shape_not_mechanism,no,"Independent quantitative mating-system lineage or population-genetic covariate matched to the focal populations."
campanula_autonomous_capacity,Campanula microdonta,focal_calibration,A,second_transition_step,"Autonomous reproductive capacity rises sharply after Oshima and the predeclared step strongly outperforms tested climate-PC1, mainland-distance, area/connectivity and pre-1986 volcanic-recency competitors.","Unmeasured founder/history threshold; habitat or breeding-system factors that also change near the boundary",strongest_current_breakpoint_leverage,no,"Independent specialist/dependency-matched lineage showing a comparable breakpoint plus a nondependent control lacking that shared breakpoint."
campanula_contemporary_network,Campanula microdonta,contemporary_ecological_context,A_source_data,network_channels_higher_post,"In the 2024 source-native network data, Campanula functional generality and corrected trait matching are both higher on the post-Oshima side than on Oshima rather than matching the historical autonomous-reproduction step.","Different decades; contemporary interaction sampling; no matching mainland Campanula network observations in this dataset",falsifies_synchronous_all_channel_story,no,"Repeated contemporaneous breeding-system and effective-pollination measurements on the same populations if cross-time linkage is required."
network_all_plants,Hiraiwa-Ushimaru network plants,contemporary_ecological_context,A_source_data,heterogeneous_network_response,"Across all network plants with sufficient Oshima/post coverage, corrected trait matching is lower post-boundary in 10 of 16 species and higher in 6; functional generality is also mixed.","Species share site environments and are not independent island experiments; contemporary network response is not floral evolution",falsifies_universal_network_step,no,"Species-level dependency stratification with hierarchical site effects and effective-pollination evidence."
pollen_target_trait_matching,Hiraiwa-Ushimaru pollen-success target plants,source_defined_functional_subset,A_source_data,coherent_trait_matching_subgroup,"Among the source study's independently selected pollen-success target plants, all 8 species with sufficient Oshima/post coverage have lower corrected trait matching post-boundary.","Source-defined functional subset; shared site environment; trait matching is network-derived and not a floral evolutionary trait",functional_boundary_signal_subgroup,no,"Test whether the pattern persists under independent functional exposure and obtain target-matched effective dependency measurements."
community_fdq_trait_matching,Hiraiwa-Ushimaru community networks,continuous_functional_exposure,A_source_data,positive_fdq_trait_matching_within_post_boundary,"The source community model gives FDQ +1.554. Site+season fixed-effect coefficients are +1.835 across all 8 sites, +1.943 within the five Izu islands, and +2.059 within Niijima/Kozu/Miyake/Hachijo alone; every leave-one-island coefficient remains positive (Izu5 range +1.432 to +2.226; post4 +1.456 to +2.333).","Time-varying weather/resources; observational network feedback; measurement error; fixed effects remove only time-invariant site differences and common season shifts",strongest_contemporary_functional_mechanism_link,no,"Measure effective pollinator dependency in the same Izu populations and test whether this continuous functional response predicts reproductive or evolutionary channels prospectively."
pollen_target_fdq_moderation,Hiraiwa-Ushimaru pollen-success target plants,moderation_boundary,A_source_data,no_stable_breadth_or_tube_moderation,"With mainland-only moderators and plant/site/season fixed effects, FDQ x realized-breadth interaction is +0.007 and FDQ x tube-length interaction is +0.068; both change sign under leave-one-site and leave-one-plant sensitivity.","Realized breadth and tube length are not effective dependency; the 10-target universe has 4 externally resolved, 5 partial and 1 unresolved pollination systems but zero resolved high-dependency Bombus targets and zero exact-2024-Izu dependency measurements",bounds_proxy_moderation_not_dependency,no,"Obtain target-matched high-dependency pollination data; do not interpret unstable proxy moderation as evidence that dependency is irrelevant."
oshima_tm_baseline_specificity,Hiraiwa-Ushimaru pollen-success target plants,posthoc_specificity_control,A_source_data,oshima_uniquely_high_trait_matching_baseline,"Among 7 source-defined target species with complete five-island coverage, Oshima is the only island baseline for which the mean of the other four islands is lower for all 7 species; corresponding counts are Kozu 5/7, Niijima 5/7, Miyake 2/7 and Hachijo 1/7.","Oshima is the sole bridge-state geographic unit; Oshima-specific habitat/environment/history remains inseparable from pollinator regime",specificity_against_arbitrary_baseline_artifact,no,"Independent geographic replication of the Oshima-like bridge regime or a temporal regime transition within a site."
farfugium_function,Farfugium japonicum,functional_control_candidate,A_source_data,channel_specific_functional_change,"Oshima-to-post functional generality is essentially unchanged (+0.00265) while corrected trait matching (-2.80665) and pollen receipt (-0.88773) are lower.","Contemporary ecology; realized generality is not pollinator effectiveness or a breeding-system trait",negative_control_against_no_effect_assumption,no,"Pair source-native floral/breeding measurements with the same site series and predeclare equivalence margins for interaction breadth."
historical_floristic_boundary,Izu vascular flora,historical_external_control,B_context,miyake_mikura_floristic_transition,"Suzuki 1956 reports 1038 archipelago taxa, marks 103 southern and 43 northern elements, and places the conspicuous southern-element northern limit at Miyakejima and northern-element southern limit at Mikurajima rather than at Oshima-Toshima.","Historical source; selected indicator taxa; taxonomy/establishment status are not a modern normalized flora matrix",weakens_generic_whole_flora_boundary_alternative,no,"Obtain the 1987 multi-island flora or another reviewed modern species-by-island matrix to quantify establishment filtering."
weigela_corolla,Weigela coraeensis,independent_candidate,B,mainland_distance_cline,"Primary abstract reports smaller Izu corollas and gradual decline with mainland distance.","The same lineage has source-supported founder/isolation history correlated with distance; numeric population table unavailable; effective Bombus dependency unresolved",falsification_of_universal_step,no,"Population-level floral means/uncertainty/localities joined to published genetic populations and source-native dependency evidence."
ligustrum_morphology,Ligustrum ovalifolium,generalist_candidate,B,island_shortening_hachijo_endpoint,"Primary abstract reports shorter Izu corolla tubes/stamens with strongest shortening on Hachijo; source keyword classifies the system as generalist.","Pollinator-fauna shift, isolation, environment and missing numeric population table",negative_control_against_specialists_only_change,no,"Figure/table values with n/uncertainty and exact islands; test whether change is a shared Bombus-boundary step or a different endpoint/cline."
hosta_morphology,Hosta longipes,independent_candidate,B,southern_corolla_decline_plus_complex_other_traits,"Primary abstract reports shorter corollas in southern Izu but non-monotonic variation in other floral parts.","Dependency class and exact population mapping unresolved until supplements are transcribed",heterogeneity_falsification,no,"Table 1/Appendix S1 localities plus numeric morphology and Appendix S5 pollinator identities/effort."
