campaign,environment,survival,selfing,control,year,variant,depression,ovule_effort,pollen_effort,all_pairs,paired_survivors,low_start_extinctions,high_start_extinctions,access_distance_change,access_distance_change_mcse,convergence,stable,divergence
assurance,both,0.0,0.1,neutral,10,a0.1_d0.0,0.0,lifetime,lifetime,256,227,12,17,0.0018903195771844427,0.0027579937863419063,63,104,60
assurance,both,0.0,0.1,neutral,10,a0.1_d0.5,0.5,lifetime,lifetime,256,56,118,120,-0.005011549159675712,0.004498065883824056,16,30,10
assurance,both,0.0,0.1,neutral,10,a0.1_d0.9,0.9,lifetime,lifetime,256,16,160,172,-0.007624979873105564,0.003938979389473521,4,12,0
assurance,both,0.0,0.1,neutral,40,a0.1_d0.0,0.0,lifetime,lifetime,256,2,229,222,0.036607193754392864,0.013323530617249389,0,0,2
assurance,both,0.0,0.1,neutral,40,a0.1_d0.5,0.5,lifetime,lifetime,256,0,254,247,,,0,0,0
assurance,both,0.0,0.1,neutral,40,a0.1_d0.9,0.9,lifetime,lifetime,256,0,255,251,,,0,0,0
assurance,both,0.0,0.1,neutral,50,a0.1_d0.0,0.0,lifetime,lifetime,256,0,251,243,,,0,0,0
assurance,both,0.0,0.1,neutral,50,a0.1_d0.5,0.5,lifetime,lifetime,256,0,256,253,,,0,0,0
assurance,both,0.0,0.1,neutral,50,a0.1_d0.9,0.9,lifetime,lifetime,256,0,256,254,,,0,0,0
assurance,both,0.0,0.1,neutral,100,a0.1_d0.0,0.0,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.0,0.1,neutral,100,a0.1_d0.5,0.5,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.0,0.1,neutral,100,a0.1_d0.9,0.9,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.0,0.1,neutral,200,a0.1_d0.0,0.0,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.0,0.1,neutral,200,a0.1_d0.5,0.5,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.0,0.1,neutral,200,a0.1_d0.9,0.9,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.0,0.1,neutral,400,a0.1_d0.0,0.0,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.0,0.1,neutral,400,a0.1_d0.5,0.5,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.0,0.1,neutral,400,a0.1_d0.9,0.9,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.0,0.1,selected,10,a0.1_d0.0,0.0,lifetime,lifetime,256,231,8,17,-0.00878565362108047,0.0037853786810138823,99,54,78
assurance,both,0.0,0.1,selected,10,a0.1_d0.5,0.5,lifetime,lifetime,256,73,101,116,-0.014098979079762663,0.007757764528553467,37,13,23
assurance,both,0.0,0.1,selected,10,a0.1_d0.9,0.9,lifetime,lifetime,256,25,156,163,-0.02781881517203861,0.013911360151956962,12,6,7
assurance,both,0.0,0.1,selected,40,a0.1_d0.0,0.0,lifetime,lifetime,256,4,230,226,-0.031328265486983045,0.06774088486453968,3,0,1
assurance,both,0.0,0.1,selected,40,a0.1_d0.5,0.5,lifetime,lifetime,256,0,254,246,,,0,0,0
assurance,both,0.0,0.1,selected,40,a0.1_d0.9,0.9,lifetime,lifetime,256,0,255,251,,,0,0,0
assurance,both,0.0,0.1,selected,50,a0.1_d0.0,0.0,lifetime,lifetime,256,1,243,245,-0.13367611119098577,,1,0,0
assurance,both,0.0,0.1,selected,50,a0.1_d0.5,0.5,lifetime,lifetime,256,0,256,253,,,0,0,0
assurance,both,0.0,0.1,selected,50,a0.1_d0.9,0.9,lifetime,lifetime,256,0,256,254,,,0,0,0
assurance,both,0.0,0.1,selected,100,a0.1_d0.0,0.0,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.0,0.1,selected,100,a0.1_d0.5,0.5,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.0,0.1,selected,100,a0.1_d0.9,0.9,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.0,0.1,selected,200,a0.1_d0.0,0.0,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.0,0.1,selected,200,a0.1_d0.5,0.5,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.0,0.1,selected,200,a0.1_d0.9,0.9,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.0,0.1,selected,400,a0.1_d0.0,0.0,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.0,0.1,selected,400,a0.1_d0.5,0.5,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.0,0.1,selected,400,a0.1_d0.9,0.9,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.0,0.5,neutral,10,a0.5_d0.0,0.0,lifetime,lifetime,256,256,0,0,0.0002830531263879692,0.001585677865256384,42,168,46
assurance,both,0.0,0.5,neutral,10,a0.5_d0.5,0.5,lifetime,lifetime,256,256,0,0,0.0020799068602437155,0.001604516439664223,50,150,56
assurance,both,0.0,0.5,neutral,10,a0.5_d0.9,0.9,lifetime,lifetime,256,56,118,120,-0.005011549159675712,0.004498065883824056,16,30,10
assurance,both,0.0,0.5,neutral,40,a0.5_d0.0,0.0,lifetime,lifetime,256,256,0,0,0.004750566936573407,0.0033517258209699724,82,74,100
assurance,both,0.0,0.5,neutral,40,a0.5_d0.5,0.5,lifetime,lifetime,256,256,0,0,0.0024549824702613772,0.003502112966505536,84,77,95
assurance,both,0.0,0.5,neutral,40,a0.5_d0.9,0.9,lifetime,lifetime,256,0,254,247,,,0,0,0
assurance,both,0.0,0.5,neutral,50,a0.5_d0.0,0.0,lifetime,lifetime,256,256,0,0,0.002753899374751219,0.003574796259976315,80,83,93
assurance,both,0.0,0.5,neutral,50,a0.5_d0.5,0.5,lifetime,lifetime,256,256,0,0,0.0017842831807765131,0.003830724895819342,95,67,94
assurance,both,0.0,0.5,neutral,50,a0.5_d0.9,0.9,lifetime,lifetime,256,0,256,253,,,0,0,0
assurance,both,0.0,0.5,neutral,100,a0.5_d0.0,0.0,lifetime,lifetime,256,256,0,0,0.0046038743901451774,0.004270182532353378,87,70,99
assurance,both,0.0,0.5,neutral,100,a0.5_d0.5,0.5,lifetime,lifetime,256,256,0,0,0.0076284523699473175,0.004650394624845337,90,53,113
assurance,both,0.0,0.5,neutral,100,a0.5_d0.9,0.9,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.0,0.5,neutral,200,a0.5_d0.0,0.0,lifetime,lifetime,256,256,0,0,0.004826228622759375,0.0048343245389315895,90,62,104
assurance,both,0.0,0.5,neutral,200,a0.5_d0.5,0.5,lifetime,lifetime,256,256,0,0,0.005244436214716851,0.005078327795455534,98,50,108
assurance,both,0.0,0.5,neutral,200,a0.5_d0.9,0.9,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.0,0.5,neutral,400,a0.5_d0.0,0.0,lifetime,lifetime,256,256,0,0,0.005089266718453608,0.004865536423028598,89,62,105
assurance,both,0.0,0.5,neutral,400,a0.5_d0.5,0.5,lifetime,lifetime,256,256,0,0,0.004782588398261894,0.005214394695553945,96,53,107
assurance,both,0.0,0.5,neutral,400,a0.5_d0.9,0.9,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.0,0.5,selected,10,a0.5_d0.0,0.0,lifetime,lifetime,256,256,0,0,0.0008426336029555351,0.001739551712281778,52,137,67
assurance,both,0.0,0.5,selected,10,a0.5_d0.5,0.5,lifetime,lifetime,256,256,0,0,-0.002320127609214532,0.0025331290499371398,86,95,75
assurance,both,0.0,0.5,selected,10,a0.5_d0.9,0.9,lifetime,lifetime,256,73,101,116,-0.014098979079762663,0.007757764528553467,37,13,23
assurance,both,0.0,0.5,selected,40,a0.5_d0.0,0.0,lifetime,lifetime,256,256,0,0,-0.0010255218578486172,0.003537093712714454,107,51,98
assurance,both,0.0,0.5,selected,40,a0.5_d0.5,0.5,lifetime,lifetime,256,256,0,0,-0.006072526808000744,0.0048024158004427095,108,52,96
assurance,both,0.0,0.5,selected,40,a0.5_d0.9,0.9,lifetime,lifetime,256,0,254,246,,,0,0,0
assurance,both,0.0,0.5,selected,50,a0.5_d0.0,0.0,lifetime,lifetime,256,256,0,0,-0.0022912522600087304,0.0038071160432014647,109,56,91
assurance,both,0.0,0.5,selected,50,a0.5_d0.5,0.5,lifetime,lifetime,256,256,0,0,-0.00618370548059478,0.0050180680313423745,109,49,98
assurance,both,0.0,0.5,selected,50,a0.5_d0.9,0.9,lifetime,lifetime,256,0,256,253,,,0,0,0
assurance,both,0.0,0.5,selected,100,a0.5_d0.0,0.0,lifetime,lifetime,256,256,0,0,-0.003106662395062732,0.004530999702828169,112,54,90
assurance,both,0.0,0.5,selected,100,a0.5_d0.5,0.5,lifetime,lifetime,256,256,0,0,-0.005971642568071672,0.00543794957733011,111,39,106
assurance,both,0.0,0.5,selected,100,a0.5_d0.9,0.9,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.0,0.5,selected,200,a0.5_d0.0,0.0,lifetime,lifetime,256,256,0,0,-0.003732916798185257,0.004590733714865233,106,58,92
assurance,both,0.0,0.5,selected,200,a0.5_d0.5,0.5,lifetime,lifetime,256,256,0,0,-0.007002489140666202,0.005588077128878856,113,42,101
assurance,both,0.0,0.5,selected,200,a0.5_d0.9,0.9,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.0,0.5,selected,400,a0.5_d0.0,0.0,lifetime,lifetime,256,256,0,0,-0.0024343864705222698,0.004616816642944437,103,58,95
assurance,both,0.0,0.5,selected,400,a0.5_d0.5,0.5,lifetime,lifetime,256,256,0,0,-0.007454413526161743,0.005607277306304725,113,42,101
assurance,both,0.0,0.5,selected,400,a0.5_d0.9,0.9,lifetime,lifetime,256,0,256,256,,,0,0,0
assurance,both,0.75,0.1,neutral,10,a0.1_d0.0,0.0,lifetime,lifetime,256,256,0,0,-0.0001654615862579209,0.0012815886269588366,45,168,43
assurance,both,0.75,0.1,neutral,10,a0.1_d0.5,0.5,lifetime,lifetime,256,256,0,0,-0.002897243102984479,0.0016317342353277865,60,145,51
