campaign,environment,survival,selfing,start,year,variant,depression,ovule_effort,pollen_effort,all_pairs,paired_survivors,selected_extinctions,neutral_extinctions,access_selected_minus_neutral,access_mcse,investment_selected_minus_neutral,investment_mcse,extinction_difference,extinction_difference_mcse
assurance,both,0.0,0.1,0.3,10,a0.1_d0.0,0.0,lifetime,lifetime,256,240,8,12,-0.00027657992174007543,0.0031004484273680763,0.006129504555314384,0.002467759023016667,-0.015625,0.013522799828292898
assurance,both,0.0,0.1,0.3,10,a0.1_d0.5,0.5,lifetime,lifetime,256,131,101,118,-0.005548192312027598,0.0036497743317725033,0.016141671895318333,0.0026822427614155895,-0.06640625,0.021391216812270377
assurance,both,0.0,0.1,0.3,10,a0.1_d0.9,0.9,lifetime,lifetime,256,91,156,160,-0.007146218459271989,0.0042874647285200684,0.015427427931175002,0.002905241835188,-0.015625,0.014611754518128179
assurance,both,0.0,0.1,0.3,40,a0.1_d0.0,0.0,lifetime,lifetime,256,18,230,229,0.002414935960349916,0.014980781392976265,0.04423024225978434,0.016942347403152386,0.00390625,0.01613557647802477
assurance,both,0.0,0.1,0.3,40,a0.1_d0.5,0.5,lifetime,lifetime,256,2,254,254,-0.02658608912914609,0.02977614643232498,-0.016557655748201644,0.0069598910344641765,0.0,0.0
assurance,both,0.0,0.1,0.3,40,a0.1_d0.9,0.9,lifetime,lifetime,256,1,255,255,-0.008437392096904472,,0.05847988200331278,,0.0,0.0
assurance,both,0.0,0.1,0.3,50,a0.1_d0.0,0.0,lifetime,lifetime,256,4,243,251,-0.030619553583414366,0.0145236469853018,0.028299643398288568,0.04086141921853428,-0.03125,0.012221154513672545
assurance,both,0.0,0.1,0.3,50,a0.1_d0.5,0.5,lifetime,lifetime,256,0,256,256,,,,,0.0,0.0
assurance,both,0.0,0.1,0.3,50,a0.1_d0.9,0.9,lifetime,lifetime,256,0,256,256,,,,,0.0,0.0
assurance,both,0.0,0.1,0.3,100,a0.1_d0.0,0.0,lifetime,lifetime,256,0,256,256,,,,,0.0,0.0
assurance,both,0.0,0.1,0.3,100,a0.1_d0.5,0.5,lifetime,lifetime,256,0,256,256,,,,,0.0,0.0
assurance,both,0.0,0.1,0.3,100,a0.1_d0.9,0.9,lifetime,lifetime,256,0,256,256,,,,,0.0,0.0
assurance,both,0.0,0.1,0.3,200,a0.1_d0.0,0.0,lifetime,lifetime,256,0,256,256,,,,,0.0,0.0
assurance,both,0.0,0.1,0.3,200,a0.1_d0.5,0.5,lifetime,lifetime,256,0,256,256,,,,,0.0,0.0
assurance,both,0.0,0.1,0.3,200,a0.1_d0.9,0.9,lifetime,lifetime,256,0,256,256,,,,,0.0,0.0
assurance,both,0.0,0.1,0.3,400,a0.1_d0.0,0.0,lifetime,lifetime,256,0,256,256,,,,,0.0,0.0
assurance,both,0.0,0.1,0.3,400,a0.1_d0.5,0.5,lifetime,lifetime,256,0,256,256,,,,,0.0,0.0
assurance,both,0.0,0.1,0.3,400,a0.1_d0.9,0.9,lifetime,lifetime,256,0,256,256,,,,,0.0,0.0
assurance,both,0.0,0.1,0.7,10,a0.1_d0.0,0.0,lifetime,lifetime,256,233,17,17,-0.008056710777015148,0.0030848837788606865,0.005682863172721509,0.0022092805595938843,0.0,0.01355815361366601
assurance,both,0.0,0.1,0.7,10,a0.1_d0.5,0.5,lifetime,lifetime,256,128,116,120,-0.001247909578801474,0.003901627249847433,0.009994590629644085,0.0037548397335053726,-0.015625,0.017476130429929893
