campaign,environment,survival,selfing,start,control,year,variant,depression,ovule_effort,pollen_effort,replicates,survivors,extinction_fraction,extinction_low,extinction_high,population_mean,population_mcse,visitor_types_mean,access_increasing_fraction,access_increasing_low,access_increasing_high,access_decreasing_fraction,access_decreasing_low,access_decreasing_high,access_small_change_fraction,access_small_change_low,access_small_change_high,access_extinction_fraction,access_extinction_low,access_extinction_high,access_change_mean,access_change_mcse,access_decreasing,access_small_change,access_increasing,investment_increasing_fraction,investment_increasing_low,investment_increasing_high,investment_decreasing_fraction,investment_decreasing_low,investment_decreasing_high,investment_small_change_fraction,investment_small_change_low,investment_small_change_high,investment_extinction_fraction,investment_extinction_low,investment_extinction_high,investment_change_mean,investment_change_mcse,investment_decreasing,investment_small_change,investment_increasing
assurance,both,0.0,0.1,0.3,neutral,10,a0.1_d0.0,0.0,lifetime,lifetime,256,244,0.046875,0.027014851001628076,0.0801330188843179,29.12109375,1.2105366538881461,2.40234375,0.1875,0.14443796573655726,0.2398019445296124,0.17578125,0.13404604842154846,0.22710285847960257,0.58984375,0.5286958295312854,0.6483351962671908,0.046875,0.027014851001628076,0.0801330188843179,0.0005848996526571038,0.0017787459622320184,45,151,48,0.21875,0.1724715978199255,0.27334432141962717,0.17578125,0.13404604842154846,0.22710285847960257,0.55859375,0.49734573849859953,0.6181092783264936,0.046875,0.027014851001628076,0.0801330188843179,0.001015743478553674,0.0017900577906218539,45,143,56
assurance,both,0.0,0.1,0.3,neutral,10,a0.1_d0.5,0.5,lifetime,lifetime,256,138,0.4609375,0.40090361566150806,0.5221263731217632,19.15625,1.4016127243881125,2.40234375,0.0859375,0.05743557903626671,0.12668230206640807,0.08984375,0.06061336726621258,0.1312015149581351,0.36328125,0.3067900082905613,0.4238149524508879,0.4609375,0.40090361566150806,0.5221263731217632,0.0011183471141354138,0.0022074981130517906,23,93,22,0.0859375,0.05743557903626671,0.12668230206640807,0.09765625,0.06702402222215342,0.14018486224554,0.35546875,0.29936712788953435,0.4158438306085691,0.4609375,0.40090361566150806,0.5221263731217632,-0.0010926390448960212,0.002197552973101958,25,91,22
assurance,both,0.0,0.1,0.3,neutral,10,a0.1_d0.9,0.9,lifetime,lifetime,256,96,0.625,0.5642590524289499,0.6820449834645823,15.51953125,1.3913901829807447,2.40234375,0.0546875,0.03285229140400938,0.08968958072528235,0.07421875,0.048026107191811204,0.11300077054584494,0.24609375,0.19734067215723067,0.3023542549340322,0.625,0.5642590524289499,0.6820449834645823,-4.7903237164674366e-05,0.0023557927520616866,19,63,14,0.0546875,0.03285229140400938,0.08968958072528235,0.0625,0.03883364112851165,0.09910223324412587,0.2578125,0.20808593083982155,0.31469999961646,0.625,0.5642590524289499,0.6820449834645823,8.985361848103807e-05,0.0022933517303189584,16,66,14
assurance,both,0.0,0.1,0.3,neutral,40,a0.1_d0.0,0.0,lifetime,lifetime,256,27,0.89453125,0.850899024665532,0.9264980886234288,1.203125,0.3861781196997105,1.2353515625,0.0390625,0.0213540358427329,0.07039983179986732,0.046875,0.027014851001628076,0.0801330188843179,0.01953125,0.008370729784579391,0.04489813224965644,0.89453125,0.850899024665532,0.9264980886234288,-0.0063875485452263145,0.00973743929818204,12,5,10,0.03125,0.015918258891511296,0.06044160650774316,0.0546875,0.03285229140400938,0.08968958072528235,0.01953125,0.008370729784579391,0.04489813224965644,0.89453125,0.850899024665532,0.9264980886234288,-0.011790279453977745,0.009882737202761883,14,5,8
assurance,both,0.0,0.1,0.3,neutral,40,a0.1_d0.5,0.5,lifetime,lifetime,256,2,0.9921875,0.9719672316984642,0.9978549096323186,0.1484375,0.10475515446335877,1.2353515625,0.0,0.0,0.01478385642587143,0.0,0.0,0.01478385642587143,0.0078125,0.002145090367681419,0.028032768301535768,0.9921875,0.9719672316984642,0.9978549096323186,0.001487175450894579,0.009886476335325939,0,2,0,0.00390625,0.0006898821669617927,0.021790975380582514,0.0,0.0,0.01478385642587143,0.00390625,0.0006898821669617927,0.021790975380582514,0.9921875,0.9719672316984642,0.9978549096323186,0.01944080383212543,0.029080038009650755,0,1,1
assurance,both,0.0,0.1,0.3,neutral,40,a0.1_d0.9,0.9,lifetime,lifetime,256,1,0.99609375,0.9782090246194175,0.9993101178330381,0.01171875,0.01171875,1.2353515625,0.0,0.0,0.01478385642587143,0.00390625,0.0006898821669617927,0.021790975380582514,0.0,0.0,0.01478385642587143,0.99609375,0.9782090246194175,0.9993101178330381,-0.03355353467123612,,1,0,0,0.0,0.0,0.01478385642587143,0.0,0.0,0.01478385642587143,0.00390625,0.0006898821669617927,0.021790975380582514,0.99609375,0.9782090246194175,0.9993101178330381,-0.018297497185916112,,0,1,0
assurance,both,0.0,0.1,0.3,neutral,50,a0.1_d0.0,0.0,lifetime,lifetime,256,5,0.98046875,0.9551018677503436,0.9916292702154206,0.515625,0.29543964155385544,1.127578125,0.01171875,0.003993287123007758,0.033881572667882304,0.0,0.0,0.01478385642587143,0.0078125,0.002145090367681419,0.028032768301535768,0.98046875,0.9551018677503436,0.9916292702154206,0.027644883807085054,0.019799681216552362,0,2,3,0.0078125,0.002145090367681419,0.028032768301535768,0.0078125,0.002145090367681419,0.028032768301535768,0.00390625,0.0006898821669617927,0.021790975380582514,0.98046875,0.9551018677503436,0.9916292702154206,-0.008840750584218049,0.025378747492608832,2,1,2
assurance,both,0.0,0.1,0.3,neutral,50,a0.1_d0.5,0.5,lifetime,lifetime,256,0,1.0,0.9852161435741286,1.0,0.0,0.0,1.127578125,0.0,0.0,0.01478385642587143,0.0,0.0,0.01478385642587143,0.0,0.0,0.01478385642587143,1.0,0.9852161435741286,1.0,,,0,0,0,0.0,0.0,0.01478385642587143,0.0,0.0,0.01478385642587143,0.0,0.0,0.01478385642587143,1.0,0.9852161435741286,1.0,,,0,0,0
assurance,both,0.0,0.1,0.3,neutral,50,a0.1_d0.9,0.9,lifetime,lifetime,256,0,1.0,0.9852161435741286,1.0,0.0,0.0,1.127578125,0.0,0.0,0.01478385642587143,0.0,0.0,0.01478385642587143,0.0,0.0,0.01478385642587143,1.0,0.9852161435741286,1.0,,,0,0,0,0.0,0.0,0.01478385642587143,0.0,0.0,0.01478385642587143,0.0,0.0,0.01478385642587143,1.0,0.9852161435741286,1.0,,,0,0,0
assurance,both,0.0,0.1,0.3,neutral,100,a0.1_d0.0,0.0,lifetime,lifetime,256,0,1.0,0.9852161435741286,1.0,0.0,0.0,0.9062109375,0.0,0.0,0.01478385642587143,0.0,0.0,0.01478385642587143,0.0,0.0,0.01478385642587143,1.0,0.9852161435741286,1.0,,,0,0,0,0.0,0.0,0.01478385642587143,0.0,0.0,0.01478385642587143,0.0,0.0,0.01478385642587143,1.0,0.9852161435741286,1.0,,,0,0,0
