reliability_lower_bound,all_points_below_isometry,all_island_cluster_intervals_below_isometry,southwest_pacific_ciarle_2025_animal__corrected_point_upper,southwest_pacific_ciarle_2025_animal__corrected_cluster_lower,southwest_pacific_ciarle_2025_animal__corrected_cluster_upper,southwest_pacific_ciarle_2025_animal__point_below_isometry,southwest_pacific_ciarle_2025_animal__cluster_interval_below_isometry,new_zealand_hendriks_2019__corrected_point_upper,new_zealand_hendriks_2019__corrected_cluster_lower,new_zealand_hendriks_2019__corrected_cluster_upper,new_zealand_hendriks_2019__point_below_isometry,new_zealand_hendriks_2019__cluster_interval_below_isometry
0.5,False,False,1.698010576214575,1.3832885843186626,1.8516010707004762,False,False,1.1666717687835684,0.42557341083903055,1.5569858161100303,False,False
0.6,False,False,1.415008813512146,1.1527404869322189,1.5430008922503968,False,False,0.972226473986307,0.3546445090325255,1.297488180091692,True,False
0.7,False,False,1.212864697296125,0.9880632745133305,1.322572193357483,False,False,0.8333369777025489,0.3039810077421647,1.1121327257928788,True,False
0.75,False,False,1.1320070508097166,0.9221923895457751,1.2344007138003175,False,False,0.7777811791890455,0.28371560722602035,1.0379905440733534,True,False
0.8,False,False,1.0612566101341092,0.8645553651991641,1.1572506691877975,False,False,0.7291698554897302,0.26598338177439407,0.9731161350687689,True,True
0.84,False,False,1.010720581080104,0.8233860620944421,1.1021434944645692,False,False,0.6944474814187908,0.2533175064518039,0.9267772714940656,True,True
0.85,True,False,0.9988297507144559,0.8136991672462721,1.0891771004120447,True,False,0.6862775110491579,0.2503373004935474,0.9158740094764884,True,True
0.9,True,False,0.9433392090080972,0.7684936579548125,1.0286672615002646,True,False,0.648150982657538,0.2364296726883503,0.8649921200611279,True,True
0.925,True,False,0.917843554710581,0.7477235590911689,1.000865443621879,True,False,0.6306333885316585,0.2300396815346111,0.8416139546540704,True,True
0.93,True,True,0.9129089119433198,0.7437035399562701,0.9954844466131592,True,True,0.6272428864427787,0.22880290905324221,0.8370891484462528,True,True
0.95,True,True,0.8936897769550395,0.728046623325612,0.9745268793160401,True,True,0.6140377730439834,0.22398600570475294,0.8194662190052792,True,True
0.975,True,True,0.8707746544690128,0.7093787611890577,0.9495390106156288,True,True,0.5982932147608043,0.21824277478924645,0.7984542646718105,True,True
0.99,True,True,0.8575810990982702,0.6986305981407387,0.9351520559093314,True,True,0.5892281660523072,0.21493606608031846,0.7863564727828436,True,True
1.0,True,True,0.8490052881072875,0.6916442921593313,0.9258005353502381,True,True,0.5833358843917842,0.21278670541951528,0.7784929080550151,True,True
