effect_id,system_id,system_cluster,source_path,evidence_family,response,predictor_or_contrast,estimate,uncertainty_type,uncertainty_value,unit,independent_unit,row_role,admission_status,cross_system_model_eligible,causal_claim_allowed,notes
izu_fdq_tm_all_eight_sites,izu_hiraiwa_ushimaru,izu_2024_network,data/predictive_meta/hiraiwa_ushimaru_continuous_functional_exposure.json,contemporary_network_slope,corrected_trait_matching,FDQ within all_eight_sites,1.8345653281752352,leave_one_site_direction_only,,TM_z per source-scale FDQ unit,site x season; subsets are correlated within one Izu system,primary_or_subset_sensitivity,empirical_numeric_uncertainty_incomplete,no,no,"Empirical contemporary slope. Subsets are sensitivity analyses, not independent archipelagos; a leave-one-site range is not a standard error."
izu_fdq_tm_mainland_three_sites,izu_hiraiwa_ushimaru,izu_2024_network,data/predictive_meta/hiraiwa_ushimaru_continuous_functional_exposure.json,contemporary_network_slope,corrected_trait_matching,FDQ within mainland_three_sites,1.5414413086717733,leave_one_site_direction_only,,TM_z per source-scale FDQ unit,site x season; subsets are correlated within one Izu system,primary_or_subset_sensitivity,empirical_numeric_uncertainty_incomplete,no,no,"Empirical contemporary slope. Subsets are sensitivity analyses, not independent archipelagos; a leave-one-site range is not a standard error."
izu_fdq_tm_izu_five_islands,izu_hiraiwa_ushimaru,izu_2024_network,data/predictive_meta/hiraiwa_ushimaru_continuous_functional_exposure.json,contemporary_network_slope,corrected_trait_matching,FDQ within izu_five_islands,1.94255840267522,leave_one_site_direction_only,"[1.4320111895257945,2.225704603861239]",TM_z per source-scale FDQ unit,site x season; subsets are correlated within one Izu system,primary_or_subset_sensitivity,empirical_numeric_uncertainty_incomplete,no,no,"Empirical contemporary slope. Subsets are sensitivity analyses, not independent archipelagos; a leave-one-site range is not a standard error."
izu_fdq_tm_post_oshima_four_islands,izu_hiraiwa_ushimaru,izu_2024_network,data/predictive_meta/hiraiwa_ushimaru_continuous_functional_exposure.json,contemporary_network_slope,corrected_trait_matching,FDQ within post_oshima_four_islands,2.0589617769543915,leave_one_site_direction_only,"[1.456147510684977,2.3325371412563176]",TM_z per source-scale FDQ unit,site x season; subsets are correlated within one Izu system,primary_or_subset_sensitivity,empirical_numeric_uncertainty_incomplete,no,no,"Empirical contemporary slope. Subsets are sensitivity analyses, not independent archipelagos; a leave-one-site range is not a standard error."
izu_fdq_tm_full_covariate_all_eight_sites,izu_hiraiwa_ushimaru,izu_2024_network,data/predictive_meta/hiraiwa_ushimaru_fdq_full_covariates.json,contemporary_network_slope,corrected_trait_matching,FDQ adjusted for richness D FRic FEve in all_eight_sites,1.8233137691189418,partial_r_squared_not_effect_uncertainty,0.3406956922033885,TM_z per source-scale FDQ unit,site x season; correlated robustness model,robustness_only,empirical_numeric_uncertainty_incomplete,no,no,"Partial R2 is incremental fit, not sampling uncertainty for the slope."
izu_fdq_tm_full_covariate_izu_five_islands,izu_hiraiwa_ushimaru,izu_2024_network,data/predictive_meta/hiraiwa_ushimaru_fdq_full_covariates.json,contemporary_network_slope,corrected_trait_matching,FDQ adjusted for richness D FRic FEve in izu_five_islands,1.9454982741801234,partial_r_squared_not_effect_uncertainty,0.5026834732067934,TM_z per source-scale FDQ unit,site x season; correlated robustness model,robustness_only,empirical_numeric_uncertainty_incomplete,no,no,"Partial R2 is incremental fit, not sampling uncertainty for the slope."
izu_fdq_tm_full_covariate_post_oshima_four_islands,izu_hiraiwa_ushimaru,izu_2024_network,data/predictive_meta/hiraiwa_ushimaru_fdq_full_covariates.json,contemporary_network_slope,corrected_trait_matching,FDQ adjusted for richness D FRic FEve in post_oshima_four_islands,2.0713955360226177,partial_r_squared_not_effect_uncertainty,0.48485090877505316,TM_z per source-scale FDQ unit,site x season; correlated robustness model,robustness_only,empirical_numeric_uncertainty_incomplete,no,no,"Partial R2 is incremental fit, not sampling uncertainty for the slope."
ogasawara_anijima_visitation_lrr,ogasawara_2026,ogasawara_oceanic_archipelago,data/results/ogasawara/context_analysis/effect_rows.json,matched_shared_plant_visitation_log_response_ratio,visitation_log_response_ratio,"Anijima natural forest with green-anole presence versus natural forest without green anoles, matched plant species within shared seasons",-0.607544274316224,exact_nonparametric_bootstrap_percentile_interval_for_median,"[-1.341558467278499,0.23081768978760953]",ln(anole-presence legitimate interactions / anole-absence legitimate interactions),plant species after taking the within-plant median across shared seasons; plants do not create independent invasion contexts or archipelagos,external_context_effect,empirical_numeric_effect_with_plant_level_uncertainty_context_specific,no,no,"The contrast is source-defined and within Anijima, but invasion contexts are spatially distinct rather than randomized. Plant-level uncertainty does not supply geographic replication."
ogasawara_anijima_pollinator_richness_lrr,ogasawara_2026,ogasawara_oceanic_archipelago,data/results/ogasawara/context_analysis/effect_rows.json,matched_shared_plant_pollinator_richness_log_response_ratio,pollinator_richness_log_response_ratio,"Anijima natural forest with green-anole presence versus natural forest without green anoles, matched plant species within shared seasons",-0.31461524740250146,exact_nonparametric_bootstrap_percentile_interval_for_median,"[-0.8754687373538999,0.4054651081081644]",ln(anole-presence pollinator richness / anole-absence pollinator richness),plant species after taking the within-plant median across shared seasons; plants do not create independent invasion contexts or archipelagos,external_context_effect,empirical_numeric_effect_with_plant_level_uncertainty_context_specific,no,no,"The contrast is source-defined and within Anijima, but invasion contexts are spatially distinct rather than randomized. Plant-level uncertainty does not supply geographic replication."
ogasawara_anijima_partner_turnover,ogasawara_2026,ogasawara_oceanic_archipelago,data/results/ogasawara/context_analysis/effect_rows.json,matched_shared_plant_pollinator_assemblage_turnover,pollinator_morisita_horn_turnover,"Anijima natural forest with green-anole presence versus natural forest without green anoles, matched plant species within shared seasons",0.6816731479429761,exact_nonparametric_bootstrap_percentile_interval_for_median,"[0.49749331369503497,0.9652568511362428]",Morisita-Horn turnover (1 - similarity),plant species after taking the within-plant median across shared seasons; plants do not create independent invasion contexts or archipelagos,external_context_effect,empirical_numeric_effect_with_plant_level_uncertainty_context_specific,no,no,"The contrast is source-defined and within Anijima, but invasion contexts are spatially distinct rather than randomized. Plant-level uncertainty does not supply geographic replication."
galapagos_source_state,galapagos_networks,galapagos_oceanic_archipelago,data/results/galapagos/network_analysis/analysis_blocked.json,source_state,source_or_schema_readiness,not applicable,,,,,,source_state,blocked_raw_source_not_recovered,no,no,Network/covariate description remains separate from effective dependency.
wanshan_yongxing_visitation_lrr,wanshan_yongxing,wanshan_yongxing_paired_system,data/results/wanshan_yongxing/effect_rows.json,matched_shared_plant_visitation_log_response_ratio,visitation_log_response_ratio,"Yongxing oceanic coral island versus Wanshan continental island, matched seven-plant subnetwork",-2.511465922860355,exact_nonparametric_bootstrap_percentile_interval_for_median,"[-3.3227312083827223,-2.0516050569583553]",ln(oceanic visitation / continental visitation),matched plant species within one island pair; plants do not create geographic replication,external_effect,empirical_numeric_effect_with_plant_level_uncertainty_single_system,yes,no,"Source-native matched-plant contrast. The island pair was sampled in different years; bootstrap uncertainty is among the seven shared plant species, not among independent archipelagos."
wanshan_yongxing_pollinator_richness_lrr,wanshan_yongxing,wanshan_yongxing_paired_system,data/results/wanshan_yongxing/effect_rows.json,matched_shared_plant_pollinator_richness_log_response_ratio,pollinator_richness_log_response_ratio,"Yongxing oceanic coral island versus Wanshan continental island, matched seven-plant subnetwork",-0.10536051565782628,exact_nonparametric_bootstrap_percentile_interval_for_median,"[-1.3217558399823195,0.28768207245178085]",ln(oceanic pollinator richness / continental pollinator richness),matched plant species within one island pair; plants do not create geographic replication,external_effect,empirical_numeric_effect_with_plant_level_uncertainty_single_system,yes,no,"Source-native matched-plant contrast. The island pair was sampled in different years; bootstrap uncertainty is among the seven shared plant species, not among independent archipelagos."
wanshan_yongxing_partner_turnover,wanshan_yongxing,wanshan_yongxing_paired_system,data/results/wanshan_yongxing/effect_rows.json,matched_shared_plant_pollinator_assemblage_turnover,pollinator_morisita_horn_turnover,"Yongxing oceanic coral island versus Wanshan continental island, matched seven-plant subnetwork",0.979601473000006,exact_nonparametric_bootstrap_percentile_interval_for_median,"[0.9442575309081302,1.0]",Morisita-Horn turnover (1 - similarity),matched plant species within one island pair; plants do not create geographic replication,external_effect,empirical_numeric_effect_with_plant_level_uncertainty_single_system,yes,no,"Source-native matched-plant contrast. The island pair was sampled in different years; bootstrap uncertainty is among the seven shared plant species, not among independent archipelagos."
