scenario_id,n_archipelagos,islands_per_archipelago,total_island_units,population_mean,between_archipelago_sd,within_archipelago_sd,naive_coverage,system_coverage,naive_positive_detection,system_positive_detection,naive_false_direction,system_false_direction,naive_mean_reported_se,system_mean_reported_se,naive_empirical_sd,system_empirical_sd,reported_se_ratio_naive_to_system
two_archipelagos_deep,2,12,24,0.0,0.0,0.4,0.9355,0.68825,0.03025,0.1525,0.0645,0.31174999999999997,0.08124144591446793,0.06485857347213465,0.08211425800291122,0.08211425800291124,1.2525937831391232
four_archipelagos,4,6,24,0.0,0.0,0.4,0.93075,0.85175,0.0355,0.07575,0.06925,0.14825,0.08084816316022697,0.07528820782863875,0.0831556287277816,0.0831556287277816,1.0738489531354374
eight_archipelagos,8,3,24,0.0,0.0,0.4,0.93,0.907,0.03675,0.04875,0.07,0.093,0.08089907851383853,0.07878148994074724,0.08249565247060078,0.08249565247060078,1.026879265353879
twelve_archipelagos,12,2,24,0.0,0.0,0.4,0.93575,0.92325,0.0315,0.03925,0.06425,0.07675,0.0809035798450569,0.07994477631112247,0.0812523752135491,0.0812523752135491,1.0119933231184868
twentyfour_archipelagos_shallow,24,1,24,0.0,0.0,0.4,0.94025,0.94025,0.029,0.029,0.05975,0.05975,0.08057744269534844,0.08057744269534844,0.08052209918991939,0.08052209918991939,1.0
two_archipelagos_deep,2,12,24,0.0,0.2,0.4,0.6805,0.6915,0.16175,0.15625,0.3195,0.3085,0.08551993674582208,0.12749918011463002,0.1614853813651168,0.1614853813651168,0.6707489151611337
four_archipelagos,4,6,24,0.0,0.2,0.4,0.8135,0.85775,0.096,0.07275,0.1865,0.14225,0.08818967872649018,0.1193353881428817,0.127530664696619,0.127530664696619,0.7390069291172843
eight_archipelagos,8,3,24,0.0,0.2,0.4,0.87975,0.90225,0.05725,0.046,0.12025,0.09775,0.08921562383992884,0.10372715346875641,0.10951567846066923,0.10951567846066923,0.860099027655294
twelve_archipelagos,12,2,24,0.0,0.2,0.4,0.9095,0.921,0.043,0.04,0.0905,0.079,0.09037867985084715,0.09841382369998751,0.10054152996075773,0.10054152996075773,0.9183535041414981
twentyfour_archipelagos_shallow,24,1,24,0.0,0.2,0.4,0.92975,0.92975,0.035,0.035,0.07025,0.07025,0.09010172379479404,0.09010172379479404,0.09302895560660027,0.09302895560660027,1.0
two_archipelagos_deep,2,12,24,0.0,0.5,0.4,0.43525,0.712,0.28625,0.14725,0.5647500000000001,0.288,0.10562677302195352,0.2930400542305862,0.3563129450486971,0.3563129450486971,0.36045165668321344
four_archipelagos,4,6,24,0.0,0.5,0.4,0.61575,0.8545,0.194,0.0705,0.38425,0.1455,0.11784877181673885,0.24074706674762578,0.2653575789042838,0.2653575789042838,0.4895128044915258
eight_archipelagos,8,3,24,0.0,0.5,0.4,0.7845,0.9095,0.10725,0.04675,0.2155,0.0905,0.12449908968884268,0.18741729064106363,0.19669044179659176,0.19669044179659176,0.6642881735350655
