campaign,environment,survival,selfing,start,year,all_pairs,paired_survivors,selected_extinctions,neutral_extinctions,access_selected_minus_neutral,access_mcse,investment_selected_minus_neutral,investment_mcse,extinction_difference,extinction_difference_mcse
larger_population,activity_only,0.0,0.0,0.3,10,64,42,21,22,-0.00017880013730301565,0.004158796078144937,0.019481824306268408,0.0022576220497750343,-0.015625,0.015625
larger_population,activity_only,0.0,0.0,0.3,40,64,21,36,43,-0.004134156319174843,0.01143670380406157,0.06390134694975746,0.004158434001775291,-0.109375,0.039322054350368486
larger_population,activity_only,0.0,0.0,0.3,50,64,15,42,49,-0.0024232478278515155,0.013314728381414051,0.07143247708588693,0.007186897285767233,-0.109375,0.039322054350368486
larger_population,activity_only,0.0,0.0,0.3,100,64,2,54,62,-0.005783734922549702,0.026262195634901522,0.0799999081414283,0.02854350326525265,-0.125,0.041666666666666664
larger_population,activity_only,0.0,0.0,0.3,200,64,0,62,64,,,,,-0.03125,0.021921011700381302
larger_population,activity_only,0.0,0.0,0.3,400,64,0,64,64,,,,,0.0,0.0
larger_population,activity_only,0.0,0.0,0.7,10,64,51,12,13,0.0024645431151294125,0.0030048337429759,0.01907347486541753,0.0016839776447766094,-0.015625,0.015625
larger_population,activity_only,0.0,0.0,0.7,40,64,30,26,34,0.01590942238884672,0.008225507900929983,0.05888971002376704,0.0030961518827548285,-0.125,0.041666666666666664
larger_population,activity_only,0.0,0.0,0.7,50,64,26,28,38,0.014329747239865794,0.009767366078632007,0.06517147407636198,0.003880270642718079,-0.15625,0.045745315919462494
larger_population,activity_only,0.0,0.0,0.7,100,64,8,47,55,0.00968481074042303,0.011368230976777065,0.09057517650061739,0.01232546571849602,-0.125,0.0472455591261534
larger_population,activity_only,0.0,0.0,0.7,200,64,1,63,63,-0.003348731461305765,,0.03780427492482841,,0.0,0.0
larger_population,activity_only,0.0,0.0,0.7,400,64,0,64,64,,,,,0.0,0.0
larger_population,activity_only,0.0,0.5,0.3,10,64,64,0,0,0.0026008581461460234,0.002300339604940403,0.0028411831350123266,0.001853828734571885,0.0,0.0
larger_population,activity_only,0.0,0.5,0.3,40,64,64,0,0,0.0032364840617531325,0.0058865844424559575,0.01196633432101195,0.0037772474785253813,0.0,0.0
larger_population,activity_only,0.0,0.5,0.3,50,64,64,0,0,0.0008567015456091088,0.006214422408197248,0.01394779988707483,0.004196781407756835,0.0,0.0
larger_population,activity_only,0.0,0.5,0.3,100,64,64,0,0,-0.001674761385455113,0.008153223473842945,0.027384783239330916,0.005156219411794927,0.0,0.0
larger_population,activity_only,0.0,0.5,0.3,200,64,64,0,0,-0.005037319023681293,0.009788796407233898,0.041886493926627244,0.006739476795320384,0.0,0.0
larger_population,activity_only,0.0,0.5,0.3,400,64,64,0,0,-0.004198290139437267,0.010776723404627497,0.04903183985325085,0.007928443033215741,0.0,0.0
larger_population,activity_only,0.0,0.5,0.7,10,64,64,0,0,0.0021281737274396716,0.0021502866055759114,0.004007502683977003,0.0017758585708613954,0.0,0.0
larger_population,activity_only,0.0,0.5,0.7,40,64,64,0,0,0.007711327846919112,0.005430319262684304,0.020145799760766657,0.0035706866735309493,0.0,0.0
larger_population,activity_only,0.0,0.5,0.7,50,64,64,0,0,0.006668762890393686,0.006124383297384205,0.02257490738552518,0.0038778679182110104,0.0,0.0
larger_population,activity_only,0.0,0.5,0.7,100,64,64,0,0,0.00823267965810971,0.007491827570058041,0.02869706151582277,0.005440834768692422,0.0,0.0
larger_population,activity_only,0.0,0.5,0.7,200,64,64,0,0,0.005672156050771055,0.009554206582092063,0.03653460036757976,0.007036018383978329,0.0,0.0
larger_population,activity_only,0.0,0.5,0.7,400,64,64,0,0,0.0029586463058204945,0.010000369841273083,0.042405021568664485,0.007658996633865208,0.0,0.0
larger_population,activity_only,0.75,0.0,0.3,10,64,64,0,0,0.00043989713400720883,0.0013014607836715297,0.0011866393760360206,0.0012635839494289929,0.0,0.0
larger_population,activity_only,0.75,0.0,0.3,40,64,0,64,64,,,,,0.0,0.0
larger_population,activity_only,0.75,0.0,0.3,50,64,0,64,64,,,,,0.0,0.0
larger_population,activity_only,0.75,0.0,0.3,100,64,0,64,64,,,,,0.0,0.0
larger_population,activity_only,0.75,0.0,0.3,200,64,0,64,64,,,,,0.0,0.0
larger_population,activity_only,0.75,0.0,0.3,400,64,0,64,64,,,,,0.0,0.0
larger_population,activity_only,0.75,0.0,0.7,10,64,64,0,0,0.0007271534417072519,0.0010439438231053047,0.002390501581814178,0.0012415872666240836,0.0,0.0
larger_population,activity_only,0.75,0.0,0.7,40,64,0,63,64,,,,,-0.015625,0.015625
larger_population,activity_only,0.75,0.0,0.7,50,64,0,64,64,,,,,0.0,0.0
larger_population,activity_only,0.75,0.0,0.7,100,64,0,64,64,,,,,0.0,0.0
