campaign,environment,survival,selfing,control,year,all_pairs,paired_survivors,low_start_extinctions,high_start_extinctions,access_distance_change,access_distance_change_mcse,convergence,stable,divergence
larger_population,activity_only,0.0,0.0,neutral,10,64,29,22,13,-0.001422579357458324,0.002230520045056266,1,28,0
larger_population,activity_only,0.0,0.0,neutral,40,64,9,43,34,0.000434313108492907,0.0045879117817919195,1,8,0
larger_population,activity_only,0.0,0.0,neutral,50,64,5,49,38,-0.006609437485527348,0.010306262675126451,2,3,0
larger_population,activity_only,0.0,0.0,neutral,100,64,1,62,55,-0.05130817147086997,,1,0,0
larger_population,activity_only,0.0,0.0,neutral,200,64,0,64,63,,,0,0,0
larger_population,activity_only,0.0,0.0,neutral,400,64,0,64,64,,,0,0,0
larger_population,activity_only,0.0,0.0,selected,10,64,31,21,12,-0.001464804478800779,0.00664425734463487,11,12,8
larger_population,activity_only,0.0,0.0,selected,40,64,13,36,26,-0.04825465082223224,0.021341527536759695,8,1,4
larger_population,activity_only,0.0,0.0,selected,50,64,11,42,28,-0.04947129622949913,0.028052888360179943,6,1,4
larger_population,activity_only,0.0,0.0,selected,100,64,3,54,47,-0.0401363410339351,0.07269223267323274,2,0,1
larger_population,activity_only,0.0,0.0,selected,200,64,0,62,63,,,0,0,0
larger_population,activity_only,0.0,0.0,selected,400,64,0,64,64,,,0,0,0
larger_population,activity_only,0.0,0.5,neutral,10,64,64,0,0,-0.00039852385853264734,0.0015671846629370754,6,53,5
larger_population,activity_only,0.0,0.5,neutral,40,64,64,0,0,0.0012690647462883916,0.0038521383174918824,17,30,17
larger_population,activity_only,0.0,0.5,neutral,50,64,64,0,0,0.0006590705572034426,0.003970349990061312,16,30,18
larger_population,activity_only,0.0,0.5,neutral,100,64,64,0,0,-0.0016864423997054873,0.005965084084155934,22,23,19
larger_population,activity_only,0.0,0.5,neutral,200,64,64,0,0,-0.003847206657756408,0.00819420898861619,24,21,19
larger_population,activity_only,0.0,0.5,neutral,400,64,64,0,0,-0.0028410259738747036,0.009919276655847837,27,11,26
larger_population,activity_only,0.0,0.5,selected,10,64,64,0,0,-0.0008712082772389992,0.003226987623219576,16,36,12
larger_population,activity_only,0.0,0.5,selected,40,64,64,0,0,0.0057439085314543725,0.008392087972083684,25,12,27
larger_population,activity_only,0.0,0.5,selected,50,64,64,0,0,0.006471131901988023,0.009396809561921227,21,16,27
larger_population,activity_only,0.0,0.5,selected,100,64,64,0,0,0.00822099864385933,0.010482580946700785,25,14,25
larger_population,activity_only,0.0,0.5,selected,200,64,64,0,0,0.006862268416695939,0.011375315510145855,24,14,26
larger_population,activity_only,0.0,0.5,selected,400,64,64,0,0,0.004315910471383057,0.011850272274755613,27,10,27
larger_population,activity_only,0.75,0.0,neutral,10,64,64,0,0,0.0005921882601417194,0.0018590696744308394,3,56,5
larger_population,activity_only,0.75,0.0,neutral,40,64,0,64,64,,,0,0,0
larger_population,activity_only,0.75,0.0,neutral,50,64,0,64,64,,,0,0,0
larger_population,activity_only,0.75,0.0,neutral,100,64,0,64,64,,,0,0,0
larger_population,activity_only,0.75,0.0,neutral,200,64,0,64,64,,,0,0,0
larger_population,activity_only,0.75,0.0,neutral,400,64,0,64,64,,,0,0,0
larger_population,activity_only,0.75,0.0,selected,10,64,64,0,0,0.0008794445678417624,0.0017622605299853645,3,56,5
larger_population,activity_only,0.75,0.0,selected,40,64,0,64,63,,,0,0,0
larger_population,activity_only,0.75,0.0,selected,50,64,0,64,64,,,0,0,0
larger_population,activity_only,0.75,0.0,selected,100,64,0,64,64,,,0,0,0
larger_population,activity_only,0.75,0.0,selected,200,64,0,64,64,,,0,0,0
larger_population,activity_only,0.75,0.0,selected,400,64,0,64,64,,,0,0,0
larger_population,activity_only,0.75,0.5,neutral,10,64,64,0,0,-0.00024374027504391656,0.0006679032748900328,0,64,0
larger_population,activity_only,0.75,0.5,neutral,40,64,64,0,0,-0.004480556735059386,0.0021495018965528873,13,44,7
larger_population,activity_only,0.75,0.5,neutral,50,64,64,0,0,-0.003938072046139486,0.002611967023577831,15,37,12
larger_population,activity_only,0.75,0.5,neutral,100,64,64,0,0,-0.005021725335983257,0.003945827062505359,21,29,14
larger_population,activity_only,0.75,0.5,neutral,200,64,64,0,0,0.004247735744168976,0.00546213988033093,16,25,23
larger_population,activity_only,0.75,0.5,neutral,400,64,64,0,0,0.008950977636573116,0.006315826406157473,17,21,26
larger_population,activity_only,0.75,0.5,selected,10,64,64,0,0,0.0003485024954483209,0.0007754909386607659,0,64,0
larger_population,activity_only,0.75,0.5,selected,40,64,64,0,0,0.0026946791486465622,0.0026107879508766034,7,44,13
larger_population,activity_only,0.75,0.5,selected,50,64,64,0,0,0.0028019009007968446,0.0028496816560834182,10,38,16
larger_population,activity_only,0.75,0.5,selected,100,64,64,0,0,0.0038021644019845136,0.004439337135463313,17,29,18
larger_population,activity_only,0.75,0.5,selected,200,64,64,0,0,0.002583919469132282,0.005962955577584935,21,23,20
larger_population,activity_only,0.75,0.5,selected,400,64,64,0,0,0.006517077891983523,0.008029087490912867,24,11,29
larger_population,both,0.0,0.0,neutral,10,64,2,46,46,-0.00021701208580943154,0.00021701208580948703,0,2,0
larger_population,both,0.0,0.0,neutral,40,64,0,64,64,,,0,0,0
larger_population,both,0.0,0.0,neutral,50,64,0,64,64,,,0,0,0
larger_population,both,0.0,0.0,neutral,100,64,0,64,64,,,0,0,0
larger_population,both,0.0,0.0,neutral,200,64,0,64,64,,,0,0,0
larger_population,both,0.0,0.0,neutral,400,64,0,64,64,,,0,0,0
larger_population,both,0.0,0.0,selected,10,64,6,44,43,-0.01927479147995619,0.03805029931371035,2,0,4
larger_population,both,0.0,0.0,selected,40,64,0,64,64,,,0,0,0
larger_population,both,0.0,0.0,selected,50,64,0,64,64,,,0,0,0
larger_population,both,0.0,0.0,selected,100,64,0,64,64,,,0,0,0
larger_population,both,0.0,0.0,selected,200,64,0,64,64,,,0,0,0
larger_population,both,0.0,0.0,selected,400,64,0,64,64,,,0,0,0
