source_logical_id,resolved_domain,specificity,zone,community_name,island,archipelago,geological_origin,species_code,month_index,month_label,classification_metric,classification_value,partner_functional_richness,partner_rank_abundance,partner_abundance_evenness,source_line
s003,flower_visitor,Generalized,CB,Caleton Blanco,Lanzarote,Canary Islands,oceanic_island_system,las.sp,1,January,L,3.0,3.0,3.0,0.314,6
s003,flower_visitor,Generalized,CB,Caleton Blanco,Lanzarote,Canary Islands,oceanic_island_system,las.sp,2,February,L,7.0,5.0,2.57,0.362,7
s003,flower_visitor,Generalized,CB,Caleton Blanco,Lanzarote,Canary Islands,oceanic_island_system,las.sp,3,March,L,3.0,3.0,3.67,0.213,8
s003,flower_visitor,Generalized,CB,Caleton Blanco,Lanzarote,Canary Islands,oceanic_island_system,las.sp,4,April,L,6.0,5.0,1.67,0.243,9
s003,flower_visitor,Generalized,CB,Caleton Blanco,Lanzarote,Canary Islands,oceanic_island_system,lep.for,2,February,L,2.0,2.0,3.0,0.177,10
s003,flower_visitor,Generalized,CB,Caleton Blanco,Lanzarote,Canary Islands,oceanic_island_system,lep.for,3,March,L,1.0,1.0,3.0,1.0,11
s003,flower_visitor,Generalized,CB,Caleton Blanco,Lanzarote,Canary Islands,oceanic_island_system,lep.for,4,April,L,4.0,3.0,1.5,0.29,12
s003,flower_visitor,Generalized,CB,Caleton Blanco,Lanzarote,Canary Islands,oceanic_island_system,pla.mau,1,January,L,2.0,2.0,2.5,0.098,13
s003,flower_visitor,Generalized,CB,Caleton Blanco,Lanzarote,Canary Islands,oceanic_island_system,pla.mau,2,February,L,4.0,4.0,2.0,0.332,14
s003,flower_visitor,Generalized,CB,Caleton Blanco,Lanzarote,Canary Islands,oceanic_island_system,pla.mau,3,March,L,6.0,5.0,2.5,0.283,15
s003,flower_visitor,Generalized,CB,Caleton Blanco,Lanzarote,Canary Islands,oceanic_island_system,pla.mau,4,April,L,4.0,4.0,2.5,0.18,16
s003,flower_visitor,Generalized,CB,Caleton Blanco,Lanzarote,Canary Islands,oceanic_island_system,tem.pro,1,January,L,4.0,4.0,3.0,0.351,17
s003,flower_visitor,Generalized,CB,Caleton Blanco,Lanzarote,Canary Islands,oceanic_island_system,tem.pro,2,February,L,4.0,4.0,2.25,0.352,18
s003,flower_visitor,Generalized,CB,Caleton Blanco,Lanzarote,Canary Islands,oceanic_island_system,tem.pro,3,March,L,2.0,2.0,3.0,0.164,19
