resolved_domain,specificity,metric,n_species,n_species_community_units,median_first_last_delta,bootstrap_ci_low,bootstrap_ci_high,mean_first_last_delta,negative_species,positive_species,tied_species,exact_sign_test_two_sided,bh_q_value,median_direction,row_role,cross_system_model_eligible,causal_claim_allowed
flower_visitor,Generalized,partner_abundance_evenness,18,20,-0.02975,-0.2625,0.09749999999999999,-0.07913888888888888,9,9,0,1.0,1.0,negative,selected_species_within_source_descriptive,no,no
flower_visitor,Generalized,partner_functional_richness,18,20,0.5,-1.75,2.0,-0.3611111111111111,7,9,2,0.803619384765625,1.0,positive,selected_species_within_source_descriptive,no,no
flower_visitor,Generalized,partner_rank_abundance,18,20,-0.22499999999999998,-0.9756249999999994,0.08499999999999996,-0.2177777777777778,10,5,3,0.3017578125,0.8125,negative,selected_species_within_source_descriptive,no,no
flower_visitor,Opportunistic,partner_abundance_evenness,21,21,0.0,-0.122,0.08199999999999999,-0.01866666666666666,9,10,2,1.0,1.0,zero,selected_species_within_source_descriptive,no,no
flower_visitor,Opportunistic,partner_functional_richness,21,21,0.0,0.0,1.0,0.5238095238095238,6,9,6,0.60723876953125,0.8387451171875,zero,selected_species_within_source_descriptive,no,no
flower_visitor,Opportunistic,partner_rank_abundance,21,21,0.10000000000000009,-0.33000000000000007,0.8300000000000001,0.48142857142857143,7,11,3,0.480682373046875,0.8125,positive,selected_species_within_source_descriptive,no,no
flower_visitor,Selective,partner_abundance_evenness,17,18,0.0,-0.161,0.03899999999999998,0.01408823529411764,6,7,4,1.0,1.0,zero,selected_species_within_source_descriptive,no,no
flower_visitor,Selective,partner_functional_richness,18,19,0.0,0.0,1.0,-0.3333333333333333,4,7,7,0.548828125,0.8232421875,zero,selected_species_within_source_descriptive,no,no
flower_visitor,Selective,partner_rank_abundance,18,19,0.0,-0.5900000000000001,0.0,-0.20500000000000002,6,3,9,0.5078125,0.8125,zero,selected_species_within_source_descriptive,no,no
flower_visitor,Specialized,partner_abundance_evenness,18,18,0.0,0.0,0.18500000000000005,0.09705555555555556,4,8,6,0.3876953125,0.8125,zero,selected_species_within_source_descriptive,no,no
flower_visitor,Specialized,partner_functional_richness,19,19,0.0,0.0,0.0,-0.2631578947368421,5,0,14,0.0625,0.3375,zero,selected_species_within_source_descriptive,no,no
flower_visitor,Specialized,partner_rank_abundance,19,19,0.0,0.0,0.0,-0.056842105263157895,4,5,10,1.0,1.0,zero,selected_species_within_source_descriptive,no,no
plant,Generalized,partner_abundance_evenness,17,20,0.109,0.004999999999999977,0.14150000000000001,0.10094117647058824,4,13,0,0.049041748046875,0.3375,positive,selected_species_within_source_descriptive,no,no
plant,Generalized,partner_functional_richness,17,20,0.5,0.0,1.0,0.5,4,9,4,0.266845703125,0.8125,positive,selected_species_within_source_descriptive,no,no
plant,Generalized,partner_rank_abundance,17,20,0.07000000000000006,-0.27,0.5200000000000002,0.019117647058823545,7,10,0,0.629058837890625,0.8387451171875,positive,selected_species_within_source_descriptive,no,no
plant,Opportunistic,partner_abundance_evenness,19,20,0.05499999999999999,0.0030000000000000027,0.15799999999999997,0.08039473684210527,3,14,2,0.012725830078125,0.305419921875,positive,selected_species_within_source_descriptive,no,no
plant,Opportunistic,partner_functional_richness,19,20,0.0,0.0,1.0,0.42105263157894735,5,9,5,0.4239501953125,0.8125,zero,selected_species_within_source_descriptive,no,no
plant,Opportunistic,partner_rank_abundance,19,20,-0.5,-1.5,0.10499999999999998,-0.4376315789473684,13,6,0,0.1670684814453125,0.66827392578125,negative,selected_species_within_source_descriptive,no,no
plant,Selective,partner_abundance_evenness,18,20,-0.029000000000000026,-0.631,0.030000000000000013,-0.2638888888888889,10,6,2,0.454498291015625,0.8125,negative,selected_species_within_source_descriptive,no,no
plant,Selective,partner_functional_richness,18,20,1.0,0.0,1.0,0.5,2,10,6,0.03857421875,0.3375,positive,selected_species_within_source_descriptive,no,no
plant,Selective,partner_rank_abundance,18,20,-0.09499999999999997,-0.385,0.30499999999999994,-0.095,9,8,1,1.0,1.0,negative,selected_species_within_source_descriptive,no,no
plant,Specialized,partner_abundance_evenness,19,20,0.0,-0.727,0.0,-0.14457894736842106,7,3,9,0.34375,0.8125,zero,selected_species_within_source_descriptive,no,no
plant,Specialized,partner_functional_richness,19,20,0.0,0.0,1.0,0.34210526315789475,1,7,11,0.0703125,0.3375,zero,selected_species_within_source_descriptive,no,no
plant,Specialized,partner_rank_abundance,19,20,-0.5,-1.5,0.33000000000000007,-0.35526315789473684,11,6,2,0.332305908203125,0.8125,negative,selected_species_within_source_descriptive,no,no
