correction_id,geographic_target,macroregion,action,effective_coverage_status,source_reference,evidence_note
ciarle_lord_howe,Lord Howe Island,Australasia / Southern Ocean,confirm_current36_coverage,source_native_overlap_current36,10.1093/aob/mcaf005,"Ciarle 2025 explicitly includes Lord Howe among the ten Southwest Pacific archipelagos in the current 36-entry morphology layer"
ciarle_norfolk,Norfolk Island,Australasia / Southern Ocean,confirm_current36_coverage,source_native_overlap_current36,10.1093/aob/mcaf005,"Ciarle 2025 explicitly includes Norfolk among the ten Southwest Pacific archipelagos in the current 36-entry morphology layer"
ciarle_kermadec,Kermadec Islands,Australasia / Southern Ocean,confirm_current36_coverage,source_native_overlap_current36,10.1093/aob/mcaf005,"Ciarle 2025 explicitly includes Kermadec among the ten Southwest Pacific archipelagos in the current 36-entry morphology layer"
ciarle_three_kings,Three Kings Islands,Australasia / Southern Ocean,add_source_native_target,source_native_overlap_current36,10.1093/aob/mcaf005,"Three Kings is source-native to Ciarle 2025 but was missing from systematic-universe v1; add it as a covered search target rather than a new research entry"
ciarle_chatham,Chatham Islands,Australasia / Southern Ocean,confirm_current36_coverage,source_native_overlap_current36,10.1093/aob/mcaf005,"Ciarle 2025 explicitly includes Chatham among the ten Southwest Pacific archipelagos"
ciarle_snares,The Snares,Australasia / Southern Ocean,confirm_current36_coverage,source_native_overlap_current36,10.1093/aob/mcaf005,"Ciarle 2025 explicitly includes Snares; already also covered by the Southern Ocean umbrella source"
ciarle_antipodes,Antipodes Islands,Australasia / Southern Ocean,confirm_current36_coverage,source_native_overlap_current36,10.1093/aob/mcaf005,"Ciarle 2025 explicitly includes Antipodes; already also covered by the Southern Ocean umbrella source"
ciarle_auckland,Auckland Islands,Australasia / Southern Ocean,confirm_current36_coverage,source_native_overlap_current36,10.1093/aob/mcaf005,"Ciarle 2025 explicitly includes Auckland; already also covered by the Southern Ocean umbrella source"
ciarle_campbell,Campbell Island,Australasia / Southern Ocean,confirm_current36_coverage,source_native_overlap_current36,10.1093/aob/mcaf005,"Ciarle 2025 explicitly includes Campbell; already also covered by the Southern Ocean umbrella source"
ciarle_macquarie,Macquarie Island,Australasia / Southern Ocean,confirm_current36_coverage,source_native_overlap_current36,10.1093/aob/mcaf005,"Ciarle 2025 explicitly includes Macquarie; already also covered by the Southern Ocean umbrella source"
