strengthening_id,geographic_target,prior_gate_id,source_reference,source_verification,direct_evidence,further_source_work_after,global_confrontation_candidate_after,resolution_class,dedup_decision,full_chapter2_contract,reason
strengthen_ascension_terminal_gap,Ascension Island,secondwave_ascension_initial,"systematic searches 2026-09-03 to 2026-09-05; Ascension endemic-flora and conservation sources",terminal_search_no_qualifying_primary_pollination_source,"Repeated targeted searches recovered endemic-flora, conservation and island-ecology material but no qualifying Ascension-local flowering-plant pollination, flower-visitor or controlled breeding-system primary study",false,false,terminal_source_gap,terminal_no_qualifying_primary_process_source,fail,"Close the current search as a documented source gap, not as evidence that pollination or reproductive interactions are absent"
strengthen_bioko_terminal_gap,Bioko,thirdwave_bioko,"systematic searches 2026-09-03 to 2026-09-05; Bioko forest and vertebrate-ecology literature",terminal_search_no_qualifying_primary_pollination_source,"Repeated searches recovered extensive forest, vertebrate and feeding ecology but no qualifying Bioko-local flowering-plant pollination or breeding-system primary experiment",false,false,terminal_source_gap,terminal_no_qualifying_primary_process_source,fail,"Do not infer pollination from frugivory, feeding or generic tropical-forest ecology"
strengthen_chatham_terminal_gap,Chatham Islands,secondwave_chatham_initial,"Ciarle et al. 2025 10.1093/aob/mcaf005; systematic local-process searches through 2026-09-05",terminal_geography_covered_local_process_unrecovered,"Chatham geography is source-native inside the existing Southwest Pacific morphology layer, but repeated targeted searches did not recover a qualifying Chatham-local pollination or breeding-system mechanism study",false,false,terminal_geography_covered_process_gap,terminal_geography_covered_local_process_unrecovered,fail,"Complete review while keeping geographic representation separate from local interaction-mechanism evidence"
strengthen_dalmatian_terminal_gap,"Dalmatian Islands",thirdwave_dalmatian,"systematic source-strengthening searches 2026-09-03 to 2026-09-05",terminal_search_no_qualifying_primary_pollination_source,"Repeated targeted searches for island/endemic plant pollination, flower visitors, self-compatibility and reproductive experiments did not recover a qualifying Dalmatian-island-specific primary process study",false,false,terminal_source_gap,terminal_no_qualifying_primary_process_source,fail,"Do not substitute mainland Croatian or generic Mediterranean evidence for a Dalmatian-island local mechanism"
strengthen_marshall_terminal_gap,Marshall Islands,secondwave_marshall_initial,"systematic source-strengthening searches 2026-09-03 to 2026-09-05; atoll flora and biodiversity sources",terminal_search_no_qualifying_primary_pollination_source,"Repeated searches recovered atoll flora, crop and biodiversity material but no qualifying Marshall-Islands-local native flowering-plant pollination or breeding-system primary study",false,false,terminal_source_gap,terminal_no_qualifying_primary_process_source,fail,"Complete the source review as a literature gap without converting crop or occurrence records into natural pollination evidence"
strengthen_nauru_terminal_gap,Nauru,thirdwave_nauru,"systematic source-strengthening searches 2026-09-03 to 2026-09-05; Nauru flora and biodiversity records",terminal_search_no_qualifying_primary_pollination_source,"Repeated target-specific searches did not recover a qualifying Nauru-local native plant-pollination, flower-visitor or breeding-system primary study",false,false,terminal_source_gap,terminal_no_qualifying_primary_process_source,fail,"Sparse source availability is recorded as a terminal literature state, not biological absence"
strengthen_norfolk_terminal_conflict,Norfolk Island,secondwave_norfolk_procris_2026,"Flora of Australia Vol. 49 Oceanic Islands 1; Parks Australia Mountain Procris account 2026; repeated primary-mechanism searches through 2026-09-05",terminal_authoritative_conflict_process_unresolved,"Flora of Australia resolves Elatostema montanum as monoecious with male and female inflorescences, while the conservation account describes rare male and female plants whose proximity enabled seed; no source-native experimental pollination-mode study was recovered to resolve the mechanistic wording conflict",false,false,terminal_authoritative_conflict,terminal_authoritative_conflict_process_unresolved,fail,"End active searching under the current protocol while preserving the unresolved mechanism conflict and allowing reopening if a primary study appears"
strengthen_selvagens_terminal_gap,Selvagens,thirdwave_selvagens,"Macaronesian flora/review sources; systematic source-strengthening searches 2026-09-03 to 2026-09-05",terminal_search_no_qualifying_primary_pollination_source,"Repeated searches recovered Macaronesian and Selvagens flora/context sources but no qualifying Selvagens-local flowering-plant pollination or controlled breeding-system primary study",false,false,terminal_source_gap,terminal_no_qualifying_primary_process_source,fail,"Keep Selvagens as a documented process-literature gap rather than inheriting pollination evidence from Canary, Madeira or Azores"
strengthen_tristan_terminal_gap,Tristan da Cunha,secondwave_tristan_initial,"systematic source-strengthening searches 2026-09-03 to 2026-09-05; Tristan flora and conservation sources",terminal_search_no_qualifying_primary_pollination_source,"Repeated searches recovered island flora and conservation records but no qualifying Tristan-da-Cunha-local flowering-plant pollination or breeding-system primary mechanism study",false,false,terminal_source_gap,terminal_no_qualifying_primary_process_source,fail,"Close the current source review as a documented literature gap without treating it as biological absence"
strengthen_turks_terminal_unknown,"Turks and Caicos",thirdwave_turks_caicos,10.1017/S0030605311000251,terminal_primary_source_explicit_pollination_unknown,"The primary Oryx study profiles endemic Argythamnia argentea and Encyclia caicensis and explicitly states that their pollination is unknown; repeated follow-up searches did not recover a later local direct mechanism study",false,false,terminal_primary_source_explicit_unknown,terminal_primary_source_explicit_pollination_unknown,fail,"The strongest source-native evidence is an explicit primary-study knowledge gap; close active searching while preserving that state as literature uncertainty, not biological absence"
