candidate_id,geographic_target,source_reference,source_directness,geographic_increment,process_increment,falsification_value,redundancy_risk,full_chapter2_contract,promotion_decision,decision_reason
firstwave_aegean,Aegean Archipelago,systematic first-wave source gate,direct_network,new_exact_group,network_structure_across_climate_gradient,medium,high,fail,retain_si_only,"Useful network breadth, but it adds little beyond existing network and disturbance examples and no matched plant response."
firstwave_ryukyu,Ryukyu Islands / Okinawa-Iriomote,systematic first-wave source gate,direct_pollination_and_bagging,new_exact_group,visitor_identity_plus_controlled_reproduction,medium,medium,fail,retain_si_only,"Strong local process evidence but largely duplicates controlled pollination/reproductive-response roles already represented."
firstwave_yakushima,Yakushima,systematic first-wave source gate,direct_community_pollination,new_exact_group,community_pollination_system_structure,medium,medium,fail,retain_si_only,"Adds Japanese island community structure but not a transition or uniquely discriminating response state."
wave2_cabo_verde,Cabo Verde,10.1016/j.ppees.2012.01.003,direct_comparative_pollination,new_exact_group,comparative_oceanic_island_pollination_biology,medium,medium,fail,retain_si_only,"Good comparative context, but one multi-archipelago study should not be inflated into an additional independent transition case."
wave2_corsica,Corsica,10.1046/j.1365-2540.2001.00897.x,direct_breeding_experiment,new_exact_group,self_outcross_fitness,medium,medium,fail,retain_si_only,"Direct breeding-system evidence is solid but does not add a process role not already represented by stronger selected cases."
wave2_cyprus,Cyprus,Mavrovounioti et al. 2024 / NERC ORA 537738,direct_flower_visitor_observation,new_exact_group,visitor_identity,low,high,fail,retain_si_only,"Local visitation evidence is useful for source completeness but lacks a linked reproductive outcome or transition."
wave2_malta,Maltese Islands,10.1016/j.gecco.2025.e03765,direct_standardized_network_monitoring,new_exact_group,community_functional_shift_and_local_filtering,medium,medium,fail,retain_si_only,"Four-year standardized monitoring is strong, but the active breadth layer already contains disturbance/network and local-filtering examples."
wave2_tasmania,Tasmania,Keith and Ilowski 1999 Epacris stuartii Recovery Plan,primary_government_field_experiment,new_exact_group,visitor_observation_plus_self_cross_exclusion,medium,medium,fail,retain_si_only,"Useful direct experiments, but government-report provenance and redundancy with existing breeding-system cases lower marginal manuscript value."
wave3_virgin_islands,Virgin Islands,10.1017/S0030605320001234,direct_pollinator_dependency,new_exact_group,visitor_dependency_plus_seed_pod_response,medium,medium,fail,retain_si_only,"Direct endemic-plant dependency is strong but not a distinct transition or uniquely missing mechanism axis."
wave3_guadeloupe,Guadeloupe,10.5772/64674,direct_breeding_experiment,new_exact_group,autogamy_selfing_population_genetics,medium,medium,fail,retain_si_only,"Direct autogamy evidence is informative but overlaps existing reproductive-assurance coverage."
wave3_marquesas,Marquesas Islands,10.1098/rsbl.2011.0771,direct_mutualist_pollen_carriage,existing_french_polynesia_group,specialized_mutualism_persistence,medium,high,fail,do_not_promote,"Source-native evidence is useful, but the geography is already represented in the French Polynesia breadth layer and should not be split into a new research count."
wave8_comoros_mayotte,Comoros and Mayotte,"Trewhella et al. 2001; 10.1016/j.sajb.2016.02.205",bounded_multi_source,new_exact_group,flower_feeding_plus_breeding_and_visitation,medium,medium,fail,retain_si_only,"Broader Indian-Ocean coverage is useful, but effectiveness and plant response are split across different subtargets and focal systems."
wave5_crete,Crete,10.1006/bijl.1996.0119,direct_controlled_pollination,new_exact_group,self_compatibility_without_autonomous_assurance,high,low,fail,promote_next_integration,"This is a clean negative control against equating self-compatibility with reproductive assurance: the endemic is self-compatible yet requires pollinators for seed set, with inbreeding depression quantified."
wave5_philippines,Philippines,Philippine Agricultural Scientist 87(2):182-190,direct_exclusion_experiment,new_exact_group,pollinator_exclusion_and_outcrossing,medium,medium,fail,retain_si_only,"Direct multi-species bagging evidence is strong but mechanistically redundant with other controlled pollination examples."
wave5_trinidad_tobago,Trinidad and Tobago,10.2307/1938966,direct_interisland_field_study,new_exact_group,pollinator_diversity_contrast_linked_to_plant_pollination,high,low,fail,promote_next_integration,"A 13-month two-island comparison directly links contrasting hummingbird diversity to plant pollination biology, making it unusually close to the paper's relational state-by-community framing."
wave5_iceland,Iceland,"10.1657/1523-0430(2006)38[305:BSEITA]2.0.CO;2",direct_controlled_breeding_comparison,new_exact_group,cleistogamy_inbreeding_reproductive_assurance,high,low,fail,promote_next_integration,"Adds an Arctic extreme where pre-anthesis cleistogamy and predominant inbreeding provide a distinct assurance state under severe pollinator constraints and a strong abiotic alternative context."
wave6_faroe,Faroe Islands,Hagerup 1951 Pollination in the Faroes,historical_primary_with_caveat,new_exact_group,historical_selfing_and_insect_scarcity,medium,high,fail,retain_si_only,"Conceptually useful but partially caveated and largely superseded for manuscript value by the stronger Iceland controlled-breeding case."
wave8_christmas,Christmas Island,10.1186/s40462-022-00315-8,direct_vector_tracking_and_pollen_swabs,new_exact_group,vertebrate_pollen_vector_role,medium,medium,fail,retain_si_only,"Strong vector evidence broadens natural history but lacks a plant reproductive response and overlaps non-insect mutualism examples already admitted."
wave8_solomon,Solomon Islands,10.2307/2388592,direct_pollination_plus_hand_self,overlap_unresolved_pacific_multi_system,vertebrate_pollination_plus_breeding,high,medium,fail,hold_overlap,"Strong process evidence, but geographic de-duplication against the unresolved Pacific multi-system morphology layer must be resolved before any count-changing promotion."
wave8_palau,Palau,Threatened Endemic Plants of Palau CEPF/CI report,authoritative_field_research_report,overlap_unresolved_pacific_multi_system,lost_pollinator_hypothesis_counterevidence,high,medium,fail,hold_overlap,"High falsification value because multiple current visitors make a simple lost-pollinator limitation story unlikely, but provenance and Pacific de-duplication should be resolved first."
wave9_maldives,Maldives,10.3897/BDJ.10.e85107,direct_standardized_flower_visitor_sampling,new_exact_group,visitor_community_composition_across_land_use,medium,medium,fail,retain_si_only,"Adds atoll visitor-community structure, but without effectiveness or plant response it does not materially sharpen the manuscript's inference."
wave9_curacao,Curaçao subtarget / ABC Islands,10.1007/s11284-010-0799-7,direct_experimental_pollination_bounded_subtarget,new_exact_subtarget_but_broad_target_incomplete,bat_pollination_effectiveness_and_reproduction,medium,high,fail,retain_si_only,"Direct Curaçao evidence is strong, but the ABC-wide target remains incomplete and Caribbean pollination-response coverage is already dense."
thirdwave_andaman,Andaman and Nicobar Islands,10.1007/s11829-025-10148-y,direct_pollination_and_fruit_set,new_exact_group,xenogamy_visitation_and_fruit_set,medium,medium,fail,retain_si_only,"Excellent local source quality but no measured community transition and no uniquely missing mechanism role."
thirdwave_madagascar,Madagascar,"10.1002/j.1537-2197.1994.tb15483.x; 10.26786/1920-7603(2010)1",direct_pollination_plus_network,new_exact_group,lemur_pollination_and_forest_visitation_web,medium,medium,fail,retain_si_only,"Adds striking non-insect pollination breadth, but the current descriptive layer already contains bird and gecko interaction modes and this does not close a process gap."
thirdwave_sardinia,Sardinia,10.1002/ece3.73394,direct_network,new_exact_group,plant_wild_bee_interaction_networks,low,high,fail,retain_si_only,"Adds another network geography but little marginal process or falsification value."
thirdwave_sicily,Sicily,10.1007/s13592-025-01153-4,direct_network,new_exact_group,bombus_plant_bipartite_networks,low,high,fail,retain_si_only,"Useful source coverage but highly redundant with existing network-structure examples."
thirdwave_sri_lanka,Sri Lanka,10.1086/521689,direct_pollination_and_breeding,new_exact_group,endemic_pollination_ecology_and_breeding_system,medium,medium,fail,retain_si_only,"Strong focal-system ecology but no transition or uniquely missing response class."
thirdwave_taiwan_lanyu,Taiwan / Lanyu,10.1186/s40529-015-0091-9,direct_hand_pollination,new_exact_group,functional_distyly_and_compatibility,medium,medium,fail,retain_si_only,"Adds compatibility architecture but not community restructuring or a uniquely discriminating response state for the current paper."
secondwave_cook,Cook Islands,systematic second-wave source gate,direct_specialized_mutualism_persistence,overlap_unresolved_pacific_multi_system,mutualist_persistence_despite_other_extinctions,high,medium,fail,hold_overlap,"Potentially strong falsification value because the fig-wasp mutualism persisted while habitat loss offered a stronger alternative, but Pacific geographic de-duplication remains unresolved."
