gate_id,geographic_target,search_outcome,source_reference,source_verification,direct_evidence,full_chapter2_contract,further_source_work,global_confrontation_candidate,reason
thirdwave_selvagens,Selvagens,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"No qualifying direct flowering-plant pollination or breeding-system primary study recovered in this pass",fail,true,false,"Keep as explicit coverage gap"
thirdwave_bermuda,Bermuda,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"No qualifying direct native flowering-plant pollination or breeding-system primary study recovered in this pass",fail,true,false,"Keep as explicit coverage gap"
thirdwave_iceland,Iceland,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"No qualifying island-specific flowering-plant pollination or breeding-system source recovered in this pass",fail,true,false,"Keep as explicit coverage gap"
thirdwave_faroe,Faroe Islands,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"No qualifying direct flowering-plant pollination or breeding-system primary study recovered in this pass",fail,true,false,"Keep as explicit coverage gap"
thirdwave_corsica,Corsica,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"Mediterranean reproductive-ecology review located, but no qualifying Corsica-specific direct source recovered in this pass",fail,true,false,"Umbrella review does not substitute for a local gate"
thirdwave_sardinia,Sardinia,source_found_direct_network,10.1002/ece3.73394,primary_article_verified,"Direct wild-bee/plant interaction networks across four Sardinian/Asinara sites with seasonal and land-use contrasts",fail,false,true,"Strong direct network breadth; no matched historical transition"
thirdwave_sicily,Sicily,source_found_direct_network,10.1007/s13592-025-01153-4,primary_article_verified,"Direct Bombus-plant bipartite networks at two eastern Sicily sites with topology and specialization metrics",fail,false,true,"Strong direct network breadth; no matched historical transition"
thirdwave_malta,Maltese Islands,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"Mediterranean reproductive-ecology review located, but no qualifying Malta-specific direct source recovered",fail,true,false,"Keep local gap explicit"
thirdwave_crete,Crete,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"Mediterranean review located; no qualifying Crete-specific direct source recovered in this pass",fail,true,false,"Keep local gap explicit"
thirdwave_cyprus,Cyprus,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"Mediterranean review located; no qualifying Cyprus-specific direct source recovered in this pass",fail,true,false,"Keep local gap explicit"
thirdwave_dalmatian,Dalmatian Islands,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"No qualifying direct plant-pollination/breeding source recovered in this pass",fail,true,false,"Keep as explicit coverage gap"
thirdwave_turks_caicos,Turks and Caicos,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"No qualifying direct plant-pollination/breeding primary source recovered in this pass",fail,true,false,"Keep as explicit coverage gap"
thirdwave_cayman,Cayman Islands,source_found_regional_obligate_mutualism,10.1073/pnas.2022211118,primary_article_verified,"Caribbean Zamia-Rhopalotria obligate pollination system includes Cayman-distributed Zamia, but exact Cayman transition/locality evidence needs a specific gate",fail,true,false,"Regional mutualism is informative but local source-native evidence remains unresolved"
thirdwave_virgin,Virgin Islands,source_found_regional_trait_compilation,10.1007/s10530-014-0712-3,primary_article_verified,"Puerto Rico/Virgin Islands alien-flora synthesis classifies breeding systems and pollination modes at flora scale; not a local interaction transition",fail,true,false,"Useful trait breadth but not a direct local transition"
