macroregion,geographic_target,island_type,coverage_status,current_evidence_layer,search_priority,seed_source
North Atlantic / Macaronesia,Azores,oceanic_or_high-latitude,source_verified_current,Layer D,covered,Olesen 2002; Boieiro 2025
North Atlantic / Macaronesia,Madeira,oceanic_or_high-latitude,source_verified_current,Layer D,covered,Esposito 2021
North Atlantic / Macaronesia,Selvagens,oceanic_or_high-latitude,target_not_yet_source_gated,none,medium,Macaronesia review 2021
North Atlantic / Macaronesia,Canary Islands,oceanic_or_high-latitude,source_verified_current,Layer A/B,covered,Trøjelsgaard et al. 2013; Teide studies
North Atlantic / Macaronesia,Cabo Verde,oceanic_or_high-latitude,target_not_yet_source_gated,none,high,Macaronesia review 2021
North Atlantic / Macaronesia,Bermuda,oceanic_or_high-latitude,target_not_yet_source_gated,none,medium,systematic target
North Atlantic / Macaronesia,Iceland,oceanic_or_high-latitude,target_not_yet_source_gated,none,low,systematic target
North Atlantic / Macaronesia,Faroe Islands,oceanic_or_high-latitude,target_not_yet_source_gated,none,low,systematic target
North Atlantic / Macaronesia,Greenland,oceanic_or_high-latitude,umbrella_network_indexed,global network index,medium,Web of Life / global pollination networks
Mediterranean,Balearic Islands,continental_island_or_archipelago,source_verified_current,Layer C / prior analytical,covered,Menorca/Cabrera/Castro-Urgal
Mediterranean,Corsica,continental_island_or_archipelago,target_not_yet_source_gated,none,medium,systematic target
Mediterranean,Sardinia,continental_island_or_archipelago,target_not_yet_source_gated,none,medium,systematic target
Mediterranean,Sicily,continental_island_or_archipelago,target_not_yet_source_gated,none,medium,systematic target
Mediterranean,Maltese Islands,continental_island_or_archipelago,target_not_yet_source_gated,none,medium,systematic target
Mediterranean,Aegean Archipelago,continental_island_or_archipelago,source_found_needs_ledger_gate,network/climate,high,Petanidou et al. 2018
Mediterranean,Crete,continental_island_or_archipelago,target_not_yet_source_gated,none,medium,systematic target
Mediterranean,Cyprus,continental_island_or_archipelago,target_not_yet_source_gated,none,medium,systematic target
Mediterranean,Tuscan Archipelago,continental_island_or_archipelago,source_verified_current,Layer C,covered,Giannutri
Mediterranean,Dalmatian Islands,continental_island_or_archipelago,target_not_yet_source_gated,none,low,systematic target
Caribbean / West Atlantic,Bahamas,continental_or_oceanic_island,source_verified_current,Layer A,covered,Pavonia bahamensis
