priority_rank,geographic_system,master_name,usgs_isid,plate,area_km2,represented_in_111,wave_status,selection_reason
1,California Channel Islands,Santa Catalina; Santa Cruz,319599;319519,mixed_master_labels,194.060079;250.081734,false,searched_wave1,"explicit island-mainland literature and known recent colonization; omitted from 111"
2,Chiloe Island,Chiloe,318931,South America,8315.867375,false,searched_wave1,"temperate South American island omitted from 111; direct comparative breeding/pollinator study"
3,Newfoundland,Newfoundland,318889,North America,108971.102605,false,searched_wave1,"large boreal island omitted from 111; explicit island reproductive-ecology hypothesis test"
4,Spitsbergen / Svalbard,Spitsbergen,319266,Eurasia,37611.571453,false,searched_wave1,"Arctic island geography absent from 111; high-latitude assurance breadth"
5,Hainan,Hainan,318874,Eurasia,34062.779854,false,searched_wave1,"large East Asian continental island omitted from 111; direct pollination and breeding evidence"
6,Borneo,Borneo,318870,Sunda,718332.882615,false,searched_wave1,"one of the world's largest islands absent from 111; direct native pollination/breeding process evidence"
7,Sulawesi,Sulawesi,318906,Banda Sea,168848.646271,false,searched_wave1,"major Wallacean island absent from 111; direct community-to-fruit-set process evidence"
8,New Guinea,New Guinea,319261,Australia,768675.411335,false,searched_wave1,"one of the world's largest islands absent from 111; obligate pollination mutualism mechanism evidence"
9,Hokkaido,Hokkaido,319262,Okhotsk,77628.163086,false,next_wave,"major East Asian island omitted from 111"
10,Tierra del Fuego,Tierra del Fuego,319264,South America,47369.949651,false,next_wave,"large temperate South American island omitted from 111"
11,Mindanao,Mindanao,318886,Sunda,93858.942974,false,next_wave,"major Philippine island only hidden under broad Philippines target in 111; requires source-native system review"
12,New Britain,New Britain,318888,South Bismarck,35359.263645,false,next_wave,"Bismarck system absent from 111"
13,Palawan,Palawan,318892,Sunda,11425.426213,false,next_wave,"distinct biogeographic island only hidden under broad Philippines target"
14,Kodiak,Kodiak,318927,North America,9421.626119,false,next_wave,"North Pacific island geography absent from 111"
15,Flores,Flores,318873,Timor,14037.411195,false,next_wave,"Lesser Sunda geography absent from 111"
16,Halmahera,Halmahera,318875,Birds Head,17989.045786,false,next_wave,"Moluccan geography absent from 111"
17,Bougainville,Bougainville,318926,Pacific,8693.546608,false,next_wave,"distinct Solomon-region large island not separately represented in 111"
18,New Ireland,New Ireland,318935,North Bismarck,7026.204673,false,next_wave,"Bismarck island geography absent from 111"
19,Buru,Buru,318932,Molucca Sea,8527.758252,false,next_wave,"Moluccan geography absent from 111"
20,Shikotan,Shikotan,319522,North Pacific/Okhotsk,244.086946,false,next_wave,"Kuril island geography absent from 111"
