gate_id,geographic_target,search_outcome,source_reference,source_verification,direct_evidence,full_chapter2_contract,further_source_work,global_confrontation_candidate,reason
secondwave_cabo_verde_campanula_2019,Cabo Verde,source_found_trait_only,10.1093/botlinnean/boz055,primary_article_verified,"Direct corolla-shape morphometrics for 221 flowers across four endemic Campanula species and eight morphogeographic entities; no measured pollinator community or transition",fail,true,false,"Useful island floral-response evidence, but no direct pollination-process axis in the source"
secondwave_sao_tome_initial,"São Tomé and Príncipe",initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"Flora/ecology sources found; no qualifying direct flowering-plant pollination or breeding-system primary study recovered in this pass",fail,true,false,"Do not infer biological absence from literature-search inconclusiveness"
secondwave_ascension_initial,Ascension Island,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"Conservation/flora sources found; no qualifying direct flowering-plant pollination or breeding-system primary study recovered",fail,true,false,"Search gap remains explicit"
secondwave_tristan_initial,Tristan da Cunha,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"Plant inventory sources found; no qualifying direct flowering-plant pollination or breeding-system primary study recovered",fail,true,false,"Search gap remains explicit"
secondwave_mayotte_vanilla_2016,"Comoros and Mayotte",source_found_direct_exact_subtarget,10.1016/j.sajb.2016.02.205,primary_article_verified,"Mayotte Vanilla humblotii: reproductive biology plus microsatellite structure; allogamous, pollinator-dependent, self-compatible; no pollen movement and ~1% natural fruit set despite bee and sunbird visits",fail,true,true,"Strong direct Mayotte reproductive/pollination evidence; broad Comoros target still needs archipelago-level completion"
secondwave_socotra_dracaena_2017,Socotra,source_found_direct,10.1016/j.jnc.2017.05.005,primary_article_verified,"Eleven Dracaena cinnabari populations surveyed at night; three endemic gecko species carried Dracaena pollen, directly documenting flower visitation/pollen carriage",fail,false,true,"Direct island mutualistic interaction; no matched source-to-transition plant-response contract"
secondwave_palau_initial,Palau,source_insufficient_hypothesis_only,"Palau orchid field guide / PICRC educational synthesis",authoritative_non_primary_for_mechanism,"Pollination strategies are described generally or hypothesized; no qualifying direct published pollination observation recovered for focal endemic orchids",fail,true,false,"Retain as explicit insufficient-evidence target"
secondwave_marshall_initial,Marshall Islands,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"No qualifying direct flowering-plant pollination or breeding-system primary source recovered in this pass",fail,true,false,"Search gap remains explicit"
secondwave_solomon_initial,Solomon Islands,source_insufficient_ecology_only,systematic web search 2026-09-03,search_documented,"Flower/fruit feeding and flying-fox ecology sources occur, but no qualifying direct plant-pollination experiment or matched reproductive study recovered",fail,true,false,"Do not convert feeding records into pollination evidence"
secondwave_samoa_freycinetia_1984,Samoa,source_found_direct,"Cox 1984 Plant Systematics and Evolution 144:277-290",primary_article_record_verified,"Field observations, experiments and SEM pollen evidence identify endemic flying fox Pteropus samoensis and starling Aplonis atrifuscus as principal Freycinetia reineckei pollinators; reward differences linked to dioecy",fail,false,true,"Strong direct mixed vertebrate-pollination mechanism; no historical transition contract"
secondwave_tonga_initial,Tonga,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"Flora/dispersal and flying-fox ecology sources found; no qualifying direct plant-pollination primary study recovered",fail,true,false,"Search gap remains explicit"
secondwave_cook_ficus_1999,Cook Islands,source_found_direct,10.1023/A:1008989022428,primary_article_verified,"Ficus prolixa across southern Cook Islands: species-specific fig-wasp pollination checked against vertebrate mutualist extinctions; pollinators remained present even at small tree populations; habitat loss outperformed mutualist-loss explanation",fail,false,true,"Strong retained-falsification/process-boundary system; no full source-state transition geometry"
secondwave_pitcairn_initial,Pitcairn Islands,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"No qualifying direct flowering-plant pollination or breeding-system primary source recovered",fail,true,false,"Search gap remains explicit"
secondwave_rapa_nui_initial,"Rapa Nui / Easter Island",initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"Conservation and plant-recovery sources found; no qualifying direct pollination/reproductive primary study recovered in this pass",fail,true,false,"Search gap remains explicit"
secondwave_revillagigedo_2020,Revillagigedo Islands,source_found_trait_only,10.1086/709018,primary_article_verified,"Pacific island-mainland sister-taxon study reports smaller island flowers specifically in Revillagigedo; source is already part of the current Pacific multi-system morphology layer",fail,false,false,"Geography is source-resolved but this is not a new research layer relative to the existing Pacific sister-taxa entry"
secondwave_chatham_initial,Chatham Islands,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"Descriptive endemic-flora sources found; no qualifying direct plant-pollination or breeding-system primary study recovered",fail,true,false,"Search gap remains explicit"
secondwave_kermadec_1909,Kermadec Islands,source_found_direct_historical,"Transactions and Proceedings of the Royal Society of New Zealand 1909, Art. XIII",direct_primary_natural_history,"Sunday Island observations directly record tui with pollen visiting Metrosideros villosa and lacewings visiting male/female Melicytus ramiflorus flowers, with explicit cross-pollination interpretation",fail,false,true,"Direct historical primary observation; quality class is natural-history rather than modern experimental ecology"
secondwave_norfolk_procris_2026,Norfolk Island,source_found_authoritative_grey,"Parks Australia 2026 Mountain Procris conservation note",authoritative_government_record,"Male and female Elatostema montanum plants were too sparse for reliable pollination; bringing sexes together in nursery enabled successful pollination and seed germination",fail,true,false,"Direct conservation observation but not peer-reviewed; retain until stronger primary source is recovered"
secondwave_ryukyu_subtargets_2026,Ryukyu Islands,resolved_by_subtarget_gates,"Kato 2000; 10.7717/peerj.12318",multiple_primary_sources_verified,"Broad Ryukyu target is now represented by directly gated Amami community data plus Okinawa/Iriomote breeding-pollination data",fail,false,false,"Resolve search coverage at broad-target level without counting Amami and Okinawa/Iriomote as independent archipelagos"
