candidate_id,geographic_system,origin_wave,geographic_overlap_state,direct_historical_coordinate,new_response_or_process_state,falsification_value,redundancy_risk,decision,manuscript_role,reason
surtsey_honckenya_2014,Surtsey,small_island_supplement,nested_with_current_Iceland,partial_arrival,"empty-start colonization; early pollen limitation; persistent breeding-system response",high,low,promote_final_synthesis,"historically anchored founding-state example","Adds the most explicit natural chronology recovered: a new island, dated plant colonization, early low-pollinator context, source-population comparison and persistent reproductive-system signature; overlap with Iceland is acceptable because the process role is new rather than geographic padding"
tiritiri_hihi_2022,Tiritiri Matangi Island,small_island_supplement,nested_with_current_New_Zealand,direct_arrival,"documented pollinator reintroduction plus direct functional pollination experiment; compensation by other birds",very_high,low,promote_final_synthesis,"transition-informed restoration and buffering example","Direct hihi reintroduction history, observed hihi visitation and exclusion-based fruit/seed response create the closest recovered transition-realization-response chain while also falsifying the shortcut that adding the focal pollinator necessarily restores total pollination function"
gulf_california_cardon,Gulf of California large islands,tranche3,new_geographic_system,no,"island diploidy/hermaphroditism versus mainland polyploidy/unisexuality",very_high,low,promote_final_synthesis,"alternative historical mechanism / confounder","Adds a distinct historical-ploidy route and an independent failure of a simple current-pollinator-abundance explanation; useful for bounding causal interpretation of island breeding-system shifts"
chiloe_embothrium_2006,Chiloe Island,master_gap_wave1,new_geographic_system,no,"matched current visitor community plus breeding treatments plus reproductive output",medium,medium,retain_supporting_information,"process-rich current-state comparator","Strong same-study process chain but no historical turnover coordinate; after saturation it no longer adds a distinct mechanism class to the core narrative"
newfoundland_menyanthes_1998,Newfoundland,master_gap_wave1,new_geographic_system,no,"explicit failed island-selfing prediction",high,medium,retain_supporting_information,"negative control","Useful falsification but overlaps the broader negative-control role already carried by California Channel Islands and Gulf of California"
tierra_del_fuego_fuchsia_1998,Tierra del Fuego,master_gap_wave2,new_geographic_system,no,"nectar robbery/local interaction disruption to fruit-set reduction",medium,medium,retain_supporting_information,"local-disruption process example","Direct fitness consequence is valuable but local interaction disruption is already represented elsewhere and does not address the historical bottleneck"
sumatra_impatiens_1991,Sumatra,tranche2,new_geographic_system,no,"pollinator partitioning plus bagged/open reproductive response",low,high,retain_supporting_information,"realized-community process example","Good process evidence but cross-sectional and redundant with multiple current-community/breeding-system entries"
saba_brassavola_2020,Saba,small_island_supplement,new_small_island_geography,no,"longitudinal demography with very low fruiting/recruitment",low,high,retain_supporting_information,"small-population demographic context","Adds small-island demographic vulnerability but not a new transition or mechanism class"
pitcairn_abutilon_2010,Pitcairn Island,small_island_supplement,existing_111_target_no_active_entry,no,"local visitor observations plus ex-situ reproductive work",low,high,retain_search_record,"bounded conservation context","Pollination and reproductive evidence are split across on-island observation and ex-situ conservation work"
clipperton_pollen_2009,Clipperton Island,small_island_supplement,new_small_island_geography,no,"long-distance atmospheric pollen transport",low,high,do_not_promote,"abiotic control only","Interesting dispersal context but not the focal animal-partner mechanism"
rottnest_posidonia_2020,Wadjemup / Rottnest Island,small_island_supplement,new_small_island_geography,no,"hydrophilous pollination and mating system",medium,high,do_not_promote,"outside-focal control","Direct reproductive evidence is strong but pollination is hydrophilous rather than animal-mediated"
tromelin_gap,Tromelin,small_island_supplement,new_small_island_geography,no,none,none,none,retain_search_gap,"explicit source gap","No qualifying plant pollination-response mechanism source recovered"
udo_gap,Udo Island,small_island_supplement,nested_with_Jeju,no,none,none,none,retain_search_gap,"explicit source gap","No qualifying Udo-local mechanism source recovered"
