system_id,geographic_system,source_reference,source_status,direct_visitation_or_community,direct_breeding_assurance,direct_plant_response_or_fitness,direct_historical_loss,direct_historical_arrival,material_novelty,manuscript_value_state,reason
aleutian_primula,Aleutian Islands,"Kelso 1992 Arctic and Alpine Research synthesis; Aleutian orchid visitor observations",review_backed_primary_lead,partial,direct,partial,no,no,no,retain_source_strengthening,"Reproductive-assurance interpretation for Primula in pollinator-unreliable Aleutian climate is biologically relevant, but the source-native experimental lineage still requires locking before promotion"
haida_gwaii_gap,Haida Gwaii,none,initial_source_gap,no,no,no,no,no,no,retain_search_gap,"Targeted search did not recover a qualifying Haida-Gwaii-local flowering-plant pollination-to-reproduction primary study in this pass"
anticosti_aster,Anticosti Island,"COSEWIC 2017 Anticosti Aster status report",authoritative_bounded_source,partial,partial,no,no,no,no,retain_search_gap,"Local biology is explicitly poorly known; general Aster outcrossing and visitor expectations cannot be upgraded to effective local pollination"
zanzibar_mangrove_2021,Zanzibar Archipelago,10.22271/j.ento.2021.v9.i6d.8908,primary_article_verified,partial,direct,direct,no,no,no,retain_process_candidate,"Unguja field experiment uses open, pollen-supplemented, bagged-self and bagged-cross treatments across four mangroves and links pollination treatment to fruit production"
jeju_gap,Jeju Island,none,initial_source_gap,no,no,no,no,no,no,retain_search_gap,"Search mainly recovered horticultural artificial-pollination work; no qualifying native island plant mechanism study admitted"
ulleung_allium_2025,Ulleungdo,10.5656/KSAE.2025.11.0.062,primary_article_verified,direct,no,no,no,no,no,retain_process_candidate,"Endemic Allium ulleungense has direct flower-visiting insect community observations across abiotic conditions, but reproductive outcome is not measured"
kuril_system_gap,Kuril Islands,"Primula cuneifolia North-Pacific reproductive literature",review_backed_source_lead,partial,partial,no,no,no,no,retain_source_strengthening,"Kurils occur in the source-native range of the distyly/autogamy Primula system, but a Kuril-local process-to-reproduction primary dataset was not locked in this pass"
kangaroo_bird_pollination,Kangaroo Island,"Paton 1993 experiments summarized in Kangaroo Island natural-history synthesis",authoritative_local_synthesis_primary_lead,direct,partial,direct,no,no,no,retain_source_strengthening,"Bird-exclusion experiments reportedly show much higher fruit set when honeyeaters have access; primary experimental citation needs exact source locking before promotion"
tiwi_gap,Tiwi Islands,none,initial_source_gap,no,no,no,no,no,no,retain_search_gap,"No qualifying Melville/Bathurst native flowering-plant pollination-to-reproduction primary source recovered in this pass"
gulf_california_cardon,Gulf of California large islands,"10.1016/j.flora.2017.08.007; 10.1086/368394; chromosome study PMID 29675137",primary_articles_verified,direct,direct,direct,no,no,"new historical/ploidy alternative to current-pollinator explanation",promote_next_review,"Catalana/Cerralvo island populations retain diploidy and hermaphroditism while mainland populations show polyploidy and unisexual breeding systems; current pollinator-abundance hypothesis is independently unsupported"
