system_id,geographic_system,system_class,master_anchors,prior_111_relation,prior_master_wave_relation,source_reference,source_status,direct_realized_community_or_visitation,direct_local_filtering,direct_breeding_assurance,direct_plant_response,direct_historical_partner_loss,direct_historical_partner_arrival,manuscript_value_state,reason
sakhalin_system,Sakhalin,continental_island,"Sakhalin 318895",absent,none,none,initial_source_gap,no,no,no,no,no,no,retain_search_gap,"Large North Pacific island recovered from geography master; targeted search did not recover a qualifying Sakhalin-local flowering-plant pollination-to-reproduction study in this pass"
sumatra_impatiens_1991,Sumatra,continental_island,"Sumatra 318907",absent,none,10.3759/tropics.1.59,primary_article_verified,direct,no,direct,direct,no,no,promote_next_review,"Four sympatric Impatiens partition hawkmoth/bee pollinators; bagged versus open fruit/seed set and self-incompatibility are reported in the same native montane system"
lesser_sunda_system,Lesser Sunda Islands,continental_archipelago,"Flores 318873; Lombok 318958; Sumbawa 318908; Timor 318910",absent,"Flores already reviewed as a bounded source gap in first 20",none,system_level_source_gap,no,no,no,no,no,no,retain_search_gap,"Grouping rule prevents Flores/Lombok/Sumbawa/Timor from being counted as four independent systems; no source-complete native pollination-response comparison across the archipelago was recovered"
moluccas_system,Moluccas / Maluku,continental_archipelago,"Buru 318932; Seram 318898; Halmahera 318875",absent,"Buru and Halmahera already reviewed as source gaps in first 20",10.30598/ajitt.2019.7.2.77-82,bounded_visitor_forage_source,partial,no,no,no,no,no,retain_search_gap,"Seram bee-forage inventory extends geographic coverage but does not establish pollination effectiveness or plant reproductive response; Buru/Halmahera remain bounded gaps"
vancouver_island_system,Vancouver Island,continental_island,"Vancouver 318911",absent,none,10.1038/s41598-018-30041-4,bounded_managed_pollination_source,direct,direct,direct,direct,no,no,retain_process_only,"Manipulated pollination and mating-system genetics are direct but come from a Douglas-fir seed orchard; retained for process method relevance, not natural-island response evidence"
canadian_arctic_archipelago,Canadian Arctic Archipelago,high_arctic_archipelago,"Baffin 327359; Ellesmere 319259; Banks 319263; Devon 318872; Prince Patrick 318894",absent,none,"Kevan 1970 interaction-web dataset; Canadian Arctic Flora",bounded_network_and_breeding_source,direct,no,partial,partial,no,no,retain_breadth_candidate,"Northern Ellesmere has source-native high-Arctic insect-flower interaction data and the regional flora documents breeding biology, but no matched historical island transition is available"
russian_high_arctic_system,Russian High Arctic Islands,high_arctic_archipelago,"Wrangel 340682; Severny 318899; October Revolution 318891; Kotelny 318880",absent,none,10.3390/stresses5040064,review_backed_source_lead,direct,no,partial,no,no,no,retain_source_strengthening,"Review traces Wrangel Saxifraga and willow pollination to source-native observations; primary historical Russian sources still need locking before evidence promotion"
japan_main_island_controls,Japanese main-island controls,main_island_control,"Honshu 318877; Kyushu 318881; Shikoku 318900",not_an_island_gap_for_inference,none,none,control_only,no,no,no,no,no,no,retain_control_only,"Kept as explicit large-main-island source controls for future island-mainland contrasts; not counted as new island-system evidence merely because the master contains their polygons"
java_main_island_control,Java,main_island_control,"Java 318879",absent,none,none,initial_source_gap,no,no,no,no,no,no,retain_control_only,"Large Sunda island retained as a potential regional source/control; no source-complete natural pollination-response comparison admitted in this pass"
philippine_nested_large_islands,Philippine nested large islands,nested_large_island,"Luzon 318882; Mindanao 318886; Palawan 318892; Panay 318893; Samar 318896; Cebu 318961",represented_by_broad_Philippines_target,"Mindanao and Palawan already reviewed as first-20 gaps",none,nested_overlap_state,no,no,no,no,no,no,represented_by_existing_system,"Recorded for source-native specificity but not counted as six new systems because the 111 frame already contains the broad Philippines target"
