insect,order,family,site_season_rows,site_count,season_count,mainland_site_count,izu_site_count,sites,proboscis_length_mm_status,fdq_admission
 Agrypnus tsukamotoi tsukamotoi,coleoptera,Elateridae,1,1,1,0,1,niijima,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Agathidinae sp.,hymenoptera,Braconidae,1,1,1,1,0,tateyama,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Agathis watanabei,hymenoptera,Braconidae,1,1,1,0,1,oshima,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Allograpta iavana,diptera,Syrphidae,2,2,2,0,2,kozu|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Amegilla florea,hymenoptera,Apidae,2,2,1,0,2,kozu|miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Amegilla quadrifasciata,hymenoptera,Apidae,7,4,2,0,4,oshima|niijima|kozu|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Andrena japonica,hymenoptera,Andrenidae,2,1,2,0,1,oshima,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Andrena knuthi,hymenoptera,Andrenidae,6,6,1,2,4,hitachinaka|tateyama|oshima|kozu|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Anterhynchium flavomarginatum,hymenoptera,Vespidae,1,1,1,0,1,miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Anthrax aygulus,diptera,Bombyliidae,1,1,1,0,1,oshima,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Anthrax distigma,diptera,Bombyliidae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Apis mellifera,hymenoptera,Apidae,11,6,4,3,3,hitachi|hitachinaka|tateyama|oshima|niijima|kozu,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Aulacochilus japonicus,coleoptera,Erotylidae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Bibio tenebrosus,diptera,Bibionidae,1,1,1,0,1,oshima,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Bombus ardens ardens,hymenoptera,Apidae,10,4,4,3,1,hitachi|hitachinaka|tateyama|oshima,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Bombus diversus diversus,hymenoptera,Apidae,2,1,2,1,0,hitachi,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Calliphora nigribarbis,diptera,Calliphoridae,1,1,1,0,1,miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Campsomeriella annulata,hymenoptera,Scoliidae,25,7,5,3,4,hitachi|hitachinaka|tateyama|oshima|niijima|kozu|miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
