island_a,island_b,n_a,n_b,n_shared,jaccard
Hachijojima,Izu Oshima,469,439,225,0.3294289897510981
Hachijojima,Kozushima,469,206,132,0.2430939226519337
Hachijojima,Mikurajima,469,260,159,0.2789473684210526
Hachijojima,Miyakejima,469,282,178,0.3106457242582897
Hachijojima,Niijima,469,173,120,0.22988505747126436
Izu Oshima,Kozushima,439,206,139,0.274703557312253
Izu Oshima,Mikurajima,439,260,149,0.27090909090909093
Izu Oshima,Miyakejima,439,282,178,0.3278084714548803
Izu Oshima,Niijima,439,173,118,0.2388663967611336
Kozushima,Mikurajima,206,260,107,0.298050139275766
Kozushima,Miyakejima,206,282,123,0.336986301369863
Kozushima,Niijima,206,173,98,0.3487544483985765
Mikurajima,Miyakejima,260,282,124,0.2966507177033493
Mikurajima,Niijima,260,173,88,0.25507246376811593
Miyakejima,Niijima,282,173,110,0.3188405797101449
