island,n_animal_valid,n_families,n_negative_lr,n_positive_lr,n_zero_lr,mean_lr,median_lr,starting_value_slope_status,ols_slope,ols_slope_se,event_bootstrap_ci_low,event_bootstrap_ci_high,mainland_sources,row_role,cross_system_model_eligible,causal_claim_allowed
Antipodes,5,4,4,1,0,-0.18811410496458092,-0.3170181010481115,estimated_descriptive_within_archipelago,-0.5209101393879704,0.2611928345120206,-1.4399376404996564,0.02144254607732311,"{""1"":5}",within_archipelago_descriptive_sensitivity,no,no
Auckland,1,1,1,0,0,-0.10438402693453074,-0.10438402693453074,blocked_n_below_predeclared_minimum,,,,,"{""1"":1}",within_archipelago_descriptive_sensitivity,no,no
Campbell,4,4,1,3,0,0.010806372744847706,0.03841669329643281,blocked_n_below_predeclared_minimum,,,,,"{""1"":4}",within_archipelago_descriptive_sensitivity,no,no
Chatham,21,15,5,14,2,0.11423617562463774,0.0871501757189002,estimated_descriptive_within_archipelago,-0.14822603564366152,0.10533869800652165,-0.3795957920115771,0.02743904653724496,"{""1"":21}",within_archipelago_descriptive_sensitivity,no,no
Kermadec,7,6,4,2,1,-0.13824503960704612,-0.0944494144603996,estimated_descriptive_within_archipelago,-0.02003236194829038,0.21019509565443018,-0.712308066779315,0.45469125884793593,"{""1"":7}",within_archipelago_descriptive_sensitivity,no,no
Lord Howe,27,17,18,7,2,-0.09656633676243004,-0.09691001300805639,estimated_descriptive_within_archipelago,-0.011719742537337196,0.11366158262684914,-0.25089817111477103,0.2281250393331533,"{""2"":27}",within_archipelago_descriptive_sensitivity,no,no
Macquarie,2,2,0,2,0,0.01529011430278799,0.01529011430278799,blocked_n_below_predeclared_minimum,,,,,"{""1"":2}",within_archipelago_descriptive_sensitivity,no,no
Norfolk,13,11,3,8,2,0.040911488396468174,0.10914446942506807,estimated_descriptive_within_archipelago,-0.09985537959145457,0.1592309584588469,-0.4381208585269146,0.2618122467278724,"{""2"":13}",within_archipelago_descriptive_sensitivity,no,no
Snares,1,1,0,1,0,0.13554356829180336,0.13554356829180336,blocked_n_below_predeclared_minimum,,,,,"{""1"":1}",within_archipelago_descriptive_sensitivity,no,no
Three Kings,7,6,0,6,1,0.11461166281395758,0.03502928220236815,estimated_descriptive_within_archipelago,-0.2790469931620525,0.11649313870760496,-0.8355209708805147,-0.11122973782834948,"{""1"":7}",within_archipelago_descriptive_sensitivity,no,no
