priority,source_id,taxon,existing_evidence_status,source_reference,required_recovery,meta_analysis_destination,blocking_condition,status
1,weigela_floral_2010,Weigela coraeensis,B_direction_only,10.1007/s00606-010-0317-y; Floral differentiation among insular and mainland populations of Weigela coraeensis,Full text or author manuscript; named population/locality table; floral trait means or raw values; independent n; SD/SE/CI or raw uncertainty; trait definitions/units; visitor identities and effort where reported,Independent numeric morphology effect; dependency-moderated holdout only after effective-pollinator dependency is separately resolved,"Publisher abstract is verified, but no lawful full text/table has been recovered; gradual distance decline cannot be translated into the Oshima-Toshima step",pending_lawful_source_recovery
2,ligustrum_kato_2013,Ligustrum ovalifolium,B_direction_only,10.1111/boj.12092; Floral morphology and pollinator fauna characteristics of island and mainland populations of Ligustrum ovalifolium,Full article plus boj12092-sup-0001-si.doc and boj12092-sup-0002-si.doc; named localities; population estimates; independent n and uncertainty/raw data; pollinator effort/identity,Independent numeric morphology effect and generalist directional control; dependency moderation only if the effective-dependency basis is adequate,"Publisher lists pairwise-comparison and pollinator-identity supplements, but supplement metadata/significance comparisons alone do not supply population effect sizes or uncertainty",pending_lawful_source_recovery
3,hosta_yamada_2014,Hosta longipes,B_direction_only,10.1111/1442-1984.12002; insular/main-island floral morphology and pollinator fauna comparison,Full article plus psbi12002-sup-0001-si.doc through psbi12002-sup-0005-si.doc; exact population mapping; locality-level floral values; independent n and uncertainty/raw data; pollinator identity/effort,Independent numeric morphology effect; heterogeneity test; dependency-moderated analysis only after direct dependency resolution,"Publisher lists locality, photograph, pollinator-sample, morphology-dissimilarity and pollinator-identity files; southern Izu cannot be mapped to the focal second boundary without the source localities",pending_lawful_source_recovery
4,campanula_punctata_inoue_1986,Campanula punctata,B_direction_only,Inoue 1986; Plant Species Biology,Compatibility trial counts; locality-specific sample sizes; mainland/Oshima and southern-island mapping,U3 mating-system effect and U5 breakpoint subset,Existing summary is direction only,pending_transcription
5,goodyera_suetsugu_2024,Goodyera henryi; Goodyera similis,full_text_context,10.1111/nph.19325; The absence of bumblebees on an oceanic island blurs the species boundary of two closely related orchids,"Preserve the already verified hybrid identity, mainland Bombus interaction, Kozu rewiring and morphology values; do not seek a pure same-lineage effect from the hybrid comparison",Hybrid replacement and interaction-rewiring response mode; excluded from within-lineage quantitative specialist holdout,Full text is recovered but the Kozu comparator is hybrid and cannot answer the same-lineage holdout question,verified_context_excluded_comparator
6,sakuyuri_flower_pollinator_2018,Lilium auratum var. platyphyllum,full_text_context,10.1111/1442-1984.12222; Comparison of floral traits and pollinator assemblages of insular and mainland varieties of Lilium auratum,Retain direct day/night pollination evidence and variety-geography confound; do not pool as a same-lineage geographic effect,Alternative Lepidoptera-guild mechanism and comparative-context sensitivity,Full text recovered; variety identity remains inseparable from geography,verified_context_excluded_comparator
7,sakuyuri_taxonomy_2017,Lilium auratum var. platyphyllum,new_crossref_lead,10.2503/hortj.okd-006; Genetic Diversity of Lilium auratum var. platyphyllum Endemic to the Izu Archipelago and its Relationship to a Nearby Population of L. auratum,Taxonomic and population relationship conclusions with sampling map,Taxonomy/comparison-scope audit,Does not itself estimate a floral response,pending_full_text
8,clerodendrum_mizusawa_2012,Clerodendrum izuinsulare_vs_trichotomum,B_direction_only,10.1111/j.1442-1984.2012.00385.x; Comparison of pollination characteristics between the insular shrub Clerodendrum izuinsulare and its widespread congener C. trichotomum,Self-compatibility experimental counts by cross type; species and island provenance; sample sizes,Comparative-context mechanism evidence only,Interspecific comparison cannot be mixed with population-level effect,pending_full_text
9,pittosporum_trait_definition_2003,Pittosporum tobira,new_crossref_lead,10.1111/j.1756-1051.2003.tb00404.x; Floral morphology and anatomy of Pittosporum tobira,Comparable trait definitions and floral-anatomy measurement protocol,U4 photo-trait protocol and functional morphology context,No geographic comparison in title,pending_full_text
10,vincetoxicum_pollination_2008,Vincetoxicum japonicum,new_crossref_lead,10.1111/j.1095-8312.2007.00896.x; Morphological aspects and phylogenetic analyses of pollination systems in the Tylophora-Vincetoxicum complex in Japan,Taxon-specific pollination-system evidence and trait accessibility,Functional-group source audit,No Izu geographic trait comparison,pending_full_text
